symbol,encode_sector
ABR,0
ABT,1
ACB,2
ACC,3
ACL,1
ACM,4
ACV,0
ADC,5
AFX,6
AG1,7
AGG,8
AGP,9
AGX,6
ALV,3
ANT,1
ANV,1
APF,1
APG,10
APP,11
ARM,0
ASM,1
ATS,12
AVC,13
AVG,11
BAB,2
BAF,1
BAL,0
BBH,0
BBS,0
BCA,4
BCM,8
BCP,9
BDW,13
BHA,13
BHC,3
BHG,1
BHN,1
BHP,1
BLI,14
BLN,12
BLT,1
BMG,7
BMJ,4
BMS,10
BMV,1
BNW,13
BT1,11
BTN,3
BTP,13
BTS,3
BTU,0
BVL,8
BVS,10
BWA,13
C21,8
C22,1
CCI,13
CCR,0
CCT,0
CCV,3
CDN,0
CDO,3
CDP,9
CIA,0
CID,3
CK8,8
CKD,0
CLI,4
CLM,4
CLX,1
CMM,1
CMN,1
CMP,0
CQN,0
CQT,3
CRE,8
CRV,8
CSC,3
CSM,15
CST,4
CSV,11
CT3,3
CTB,0
CTG,2
CTI,3
CTP,1
CTR,3
CTW,13
CTX,3
CVT,3
CX8,3
CYC,3
D2D,8
DAG,11
DAS,15
DAT,1
DBC,1
DBD,9
DC1,3
DCL,9
DGC,11
DGW,6
DHA,3
DHB,11
DHD,9
DHM,4
DIH,3
DLG,3
DLT,12
DNC,13
DNH,13
DNN,13
DPC,0
DPR,11
DRH,8
DRI,11
DSC,10
DSG,3
DST,5
DTI,12
DTL,4
DUS,0
DVG,3
DVN,9
DWC,13
DWS,13
DXV,3
E12,3
EBS,5
EIN,12
ELC,16
EMG,0
EVG,3
EVS,10
FCM,3
FCN,3
FDC,8
FGL,1
FRT,6
FTM,7
G20,7
GDA,4
GEE,0
GH3,3
GHC,13
GMA,15
GMC,7
GMH,3
GND,3
GPC,9
GSM,13
GSP,0
GTT,12
HAC,10
HAG,1
HAM,3
HAP,4
HAS,3
HAV,1
HBH,1
HBS,10
HC3,3
HCD,11
HDB,2
HDG,8
HEJ,3
HEP,0
HEV,5
HGT,12
HHG,12
HHN,0
HID,3
HIO,13
HKT,1
HLO,0
HLS,0
HLT,7
HMR,3
HMS,3
HOT,12
HPD,13
HPH,11
HPM,4
HPO,0
HPX,8
HSP,3
HT1,3
HTC,13
HTT,6
HU3,3
ICG,3
IDI,1
IDV,8
IHK,5
IJC,8
ILA,3
ILC,0
IME,0
IMP,9
ITD,16
JOS,1
JVC,9
KDC,1
KGM,6
KHX,5
KMR,7
KSQ,3
KST,16
KTT,3
L14,3
L61,0
L62,0
L63,0
LAI,3
LBM,3
LDP,9
LG9,3
LHC,3
LM3,3
LMH,8
LSG,8
LTC,16
MA1,8
MAC,0
MBB,2
MBT,8
MCC,3
MCF,1
MCG,3
MCM,1
MCO,3
MDA,0
MEL,4
MES,3
MH3,8
MIC,4
MIG,14
MLC,0
MML,1
MPC,1
MPT,7
MQB,0
MSB,2
MSN,1
MTP,9
NAB,2
NAF,1
NAG,0
NAS,0
ND2,13
NDC,9
NDP,9
NDT,7
NDX,3
NFC,11
NHA,3
NHH,11
NHT,7
NJC,7
NLG,8
NNT,13
NSC,1
NSG,11
NTF,9
NTH,13
NUE,0
NVL,8
OIL,17
ONE,16
ONW,12
PAP,0
PBC,9
PC1,3
PCC,3
PCH,11
PCM,3
PCT,0
PEG,13
PGB,2
PGD,13
PGT,12
PGV,13
PHC,3
PIC,13
PIS,4
PJC,13
PLP,11
PNC,5
PND,13
PNP,0
POS,17
POV,13
POW,13
PPH,7
PPP,9
PRE,14
PRO,1
PSB,3
PTI,14
PTL,8
PTM,15
PTO,3
PTS,0
PV2,8
PVH,3
PVL,8
PVO,11
PVR,8
PVT,0
PVV,3
PVY,3
PXA,8
PXI,3
PXM,3
PXS,3
QHD,0
QNC,3
QNW,13
QPH,13
QST,5
QTC,3
RAT,0
RIC,12
RYG,3
S12,3
S72,3
S99,3
SAC,0
SAL,0
SAM,16
SAS,6
SAV,4
SBA,13
SBB,1
SBV,6
SC5,3
SCG,3
SCL,3
SD2,3
SD3,3
SD4,3
SD6,3
SDU,3
SFI,0
SFN,0
SGD,5
SGH,12
SGI,7
SGS,0
SHN,4
SHS,10
SID,8
SJM,3
SMA,13
SMT,16
SPD,1
SRF,0
SSB,2
SSF,7
SSH,8
SSN,1
STB,2
STC,5
STG,0
STL,8
STT,12
SVC,15
SVG,0
SVH,13
SWC,0
SZG,8
TAN,1
TAR,1
TBC,13
TBR,8
TBW,13
TCI,10
TCJ,1
TCW,0
TD6,4
TDC,8
TDF,3
TDS,4
TDT,7
TDW,13
TET,7
TFC,1
TGG,3
TH1,6
THG,3
THN,13
THP,1
THT,4
THW,13
TJC,0
TL4,3
TLP,13
TMB,4
TMT,15
TNB,4
TNC,11
TNP,0
TNS,4
TNT,3
TNV,7
TNW,13
TOP,6
TPB,2
TPP,0
TQN,4
TRC,11
TRS,0
TRV,0
TS3,3
TSG,0
TST,16
TT6,1
TTC,3
TTF,4
TTN,18
TTZ,3
TV1,0
TVG,3
TVH,3
TVN,4
TXM,3
UDC,3
UEM,0
UIC,13
UNI,16
UPH,9
VBB,2
VBG,4
VBT,0
VC6,3
VCA,4
VCC,3
VCG,3
VCI,10
VCK,10
VCM,0
VCP,13
VDS,10
VE8,3
VE9,3
VEF,8
VES,8
VET,11
VFC,0
VFG,11
