symbol,date,open,high,low,close,volume
ABR,2018-12-19 07:00:00,2.21,2.21,,,
ABR,2018-12-27 07:00:00,2.49,,,2.49,
ABR,2019-08-02 07:00:00,10.31,,,11.9,
ABR,2019-08-20 07:00:00,,,13.97,,
ABR,2020-07-29 07:00:00,17.98,17.98,,17.29,1200.0
ABR,2021-03-10 07:00:00,18.26,,15.29,15.29,200.0
ABR,2021-04-28 07:00:00,15.29,,15.29,15.29,400.0
ABR,2022-03-30 07:00:00,,14.32,14.15,14.15,800.0
ABR,2022-04-13 07:00:00,13.83,,,,
ABR,2022-09-09 07:00:00,8.3,,8.3,,
ABR,2023-02-27 07:00:00,,,6.73,7.19,
ABR,2023-11-02 07:00:00,,12.04,,12.04,1200.0
ABR,2024-01-19 07:00:00,9.13,,9.13,,1100.0
ABR,2024-10-14 07:00:00,,12.32,11.85,11.85,
ABR,2026-04-13 07:00:00,,13.0,13.0,13.0,400.0
ABT,2016-09-29 07:00:00,,25.2,,,3580.0
ABT,2017-01-05 07:00:00,22.1,23.68,,,2550.0
ABT,2017-12-22 07:00:00,16.28,,16.28,16.28,210.0
ABT,2018-08-10 07:00:00,22.22,22.66,,22.66,810.0
ABT,2018-09-11 07:00:00,21.91,21.91,21.22,21.22,
ABT,2019-03-15 07:00:00,27.84,,27.84,27.84,170.0
ABT,2020-10-27 07:00:00,22.09,,22.09,,460.0
ABT,2021-03-10 07:00:00,22.8,,,22.8,5000.0
ABT,2022-03-04 07:00:00,,31.71,,31.71,7400.0
ABT,2022-06-22 07:00:00,30.08,30.46,28.49,30.23,
ABT,2022-06-29 07:00:00,29.51,29.51,,,300.0
ABT,2023-02-09 07:00:00,,,26.7,28.52,
ABT,2023-07-27 07:00:00,,27.13,,27.13,100.0
ABT,2024-03-07 07:00:00,32.39,32.39,,,2800.0
ABT,2024-05-02 07:00:00,,,,29.54,700.0
ABT,2025-04-09 07:00:00,36.94,39.47,,,
ABT,2025-07-25 07:00:00,52.59,,,52.59,19000.0
ABT,2025-08-18 07:00:00,60.03,,59.65,,7500.0
ABT,2025-08-29 07:00:00,60.13,,,61.08,17000.0
ABT,2025-11-18 07:00:00,65.76,,65.76,,
ACB,2015-12-04 07:00:00,3.08,,3.05,,
ACB,2016-03-10 07:00:00,3.06,3.08,,3.06,127860.0
ACB,2016-05-13 07:00:00,2.98,,2.95,,303678.0
ACB,2016-05-17 07:00:00,3.01,3.05,,,
ACB,2016-07-20 07:00:00,,2.93,2.9,2.93,109114.0
ACB,2016-11-22 07:00:00,3.03,3.03,,3.03,289066.0
ACB,2016-12-19 07:00:00,3.03,,2.96,,
ACB,2017-09-29 07:00:00,,,5.28,,920886.0
ACB,2018-03-19 07:00:00,8.95,9.07,8.88,9.07,
ACB,2018-07-26 07:00:00,5.91,6.89,,6.72,6326835.0
ACB,2018-11-27 07:00:00,6.46,6.5,6.35,,2599848.0
ACB,2018-12-26 07:00:00,,,5.77,,
ACB,2019-08-21 07:00:00,6.41,6.47,6.38,,
ACB,2020-03-03 07:00:00,7.39,7.48,7.3,7.39,
ACB,2020-04-03 07:00:00,,5.6,,,3574343.0
ACB,2020-08-17 07:00:00,,,7.28,7.45,6222301.0
ACB,2020-11-05 07:00:00,,9.64,9.34,,8550742.0
ACB,2021-01-19 07:00:00,11.18,11.22,,,13077400.0
ACB,2021-08-26 07:00:00,15.27,15.29,14.92,14.99,
ACB,2021-09-10 07:00:00,15.25,,15.13,15.15,4101100.0
ACB,2021-11-01 07:00:00,,15.43,15.2,15.34,
ACB,2021-11-23 07:00:00,16.07,16.09,,15.93,3839600.0
ACB,2021-12-22 07:00:00,,,15.32,15.34,-3385200.0
ACB,2022-01-12 07:00:00,15.34,15.74,15.27,15.53,
ACB,2022-02-08 07:00:00,,16.89,16.28,16.77,
ACB,2022-03-22 07:00:00,,15.67,,,3324000.0
ACB,2022-12-30 07:00:00,12.89,13.01,12.77,,1339500.0
ACB,2023-01-16 07:00:00,,14.65,14.15,,3538100.0
ACB,2023-05-08 07:00:00,,,,14.62,2303900.0
ACB,2023-07-06 07:00:00,15.41,15.44,,,
ACB,2023-09-21 07:00:00,,,15.69,15.73,
ACB,2023-10-02 07:00:00,,15.41,,,3809300.0
ACB,2024-04-23 07:00:00,18.81,,18.64,18.71,8540500.0
ACB,2024-05-03 07:00:00,19.03,19.31,,,
ACB,2024-10-02 07:00:00,21.48,21.81,21.39,,10112400.0
ACB,2024-10-14 07:00:00,,21.93,21.68,21.68,9026900.0
ACB,2024-10-25 07:00:00,20.89,,20.77,20.81,9220400.0
ACB,2025-02-28 07:00:00,21.73,21.89,21.56,,5469900.0
ACB,2025-05-28 07:00:00,21.5,,,,
ACB,2025-08-05 07:00:00,23.5,24.5,23.3,23.45,
ACC,2016-01-15 07:00:00,4.62,4.62,,,
ACC,2016-12-28 07:00:00,,6.81,6.81,,
ACC,2017-04-18 07:00:00,6.16,,,6.14,5820.0
ACC,2018-05-02 07:00:00,5.16,5.23,5.16,,1500.0
ACC,2018-07-10 07:00:00,4.72,4.72,4.7,,
ACC,2019-01-22 07:00:00,,,5.64,5.64,3420.0
ACC,2019-09-20 07:00:00,5.46,5.49,5.2,,
ACC,2020-01-08 07:00:00,,,5.4,5.46,1020.0
ACC,2020-05-13 07:00:00,5.6,,,5.46,9080.0
ACC,2020-09-03 07:00:00,,,5.98,6.03,108990.0
ACC,2020-10-29 07:00:00,5.53,5.53,,5.53,
ACC,2021-01-05 07:00:00,7.3,7.3,7.08,7.3,
ACC,2021-05-27 07:00:00,6.39,,,6.24,23600.0
ACC,2021-10-11 07:00:00,7.89,7.89,7.76,7.85,
ACC,2021-12-24 07:00:00,11.64,,11.33,11.64,54600.0
ACC,2022-02-21 07:00:00,,19.03,,18.84,93600.0
ACC,2022-07-14 07:00:00,14.75,,,,69600.0
ACC,2022-09-13 07:00:00,,16.46,16.03,,113300.0
ACC,2022-09-15 07:00:00,,16.46,,,54500.0
ACC,2022-10-18 07:00:00,16.3,,,16.25,
ACC,2022-10-31 07:00:00,14.8,,13.95,,
