symbol,date,open,high,low,close,volume
ABR,2018-07-10 07:00:00,4.08,4.15,4.08,4.15,700.0
ABR,2020-07-29 07:00:00,17.98,17.98,11.106903127383676,17.29,1200.0
ABR,2021-03-08 07:00:00,18.26,18.26,14.18,14.18,200.0
ABR,2023-02-27 07:00:00,11.005430312261995,11.558208269525268,6.73,7.19,10776.0
ABT,2017-12-22 07:00:00,16.28,29.9712134088763,16.28,16.28,210.0
ABT,2019-03-15 07:00:00,27.84,29.9712134088763,27.84,27.84,170.0
ABT,2022-06-22 07:00:00,30.08,30.46,28.49,30.23,6330.0
ABT,2025-04-09 07:00:00,36.94,39.47,29.251492183799147,32.52288841456039,6330.0
ACB,2020-08-17 07:00:00,11.521711780404118,11.868293333333334,7.28,7.45,6222301.0
ACB,2022-01-12 07:00:00,15.34,15.74,15.27,15.53,8032012.0
ACB,2022-04-04 07:00:00,15.76,15.81,15.67,15.72,4794400.0
ACB,2023-12-11 07:00:00,15.76,15.8,15.62,15.73,2274400.0
ACB,2024-05-03 07:00:00,19.03,19.31,11.626424219345012,12.33710448858462,8032012.0
ACC,2020-09-03 07:00:00,9.171157978511738,9.501206210191082,5.98,6.03,108990.0
ACC,2021-07-09 07:00:00,6.48,6.52,6.35,6.35,55900.0
ACC,2021-10-11 07:00:00,7.89,7.89,7.76,7.85,89371.0
ACC,2021-10-19 07:00:00,8.16,8.2,7.98,8.2,45600.0
ACC,2022-04-15 07:00:00,18.27,18.51,18.17,18.32,86700.0
ACC,2023-06-08 07:00:00,14.0,14.0,13.75,13.75,62900.0
ACC,2025-07-11 07:00:00,14.0,14.05,9.20884508164078,13.95,206100.0
ACC,2026-04-08 07:00:00,12.7,12.7,9.20884508164078,10.277440324346399,23000.0
ACL,2016-12-23 07:00:00,2.92,2.99,2.83,2.83,110874.0
ACL,2017-10-12 07:00:00,3.04,10.565010258514567,3.04,3.1,110874.0
ACL,2017-12-11 07:00:00,3.14,10.565010258514567,2.94,2.94,60.0
ACL,2018-08-10 07:00:00,10.16688989317995,10.565010258514567,4.09,4.24,160.0
ACL,2018-10-24 07:00:00,10.16688989317995,10.565010258514567,6.9,7.19,110874.0
ACL,2019-05-29 07:00:00,15.33,15.41,10.151327033689402,15.2,140340.0
