symbol,date,open,high,low,close,volume
ZZZZZZ,2020-05-20 07:00:00,6.38,6.47,6.35,6.41,3116422.0
ZZZZZZ,2018-01-25 07:00:00,1.4,1.5,1.3,1.4,476010.0
ZZZZZZ,2024-05-10 07:00:00,0.6,0.6,0.5,0.6,414820.0
ZZZZZZ,2021-11-18 07:00:00,17.57,17.57,17.57,17.57,1200.0
ZZZZZZ,2024-07-24 07:00:00,7.9,8.1,7.8,8.1,72609.0
ZZZZZZ,2024-08-28 07:00:00,8.25,8.25,8.25,8.25,902.0
ZZZZZZ,2025-12-25 07:00:00,6.9,7.1,6.9,7.1,21800.0
ZZZZZZ,2021-12-02 07:00:00,34.5,34.5,33.05,33.05,62680.0
ZZZZZZ,2021-03-02 07:00:00,5.55,5.55,5.43,5.45,1231200.0
ZZZZZZ,2025-04-22 07:00:00,10.2,10.6,9.99,10.6,990300.0
ZZZZZZ,2016-12-27 07:00:00,6.68,6.7,6.66,6.66,1865220.0
ZZZZZZ,2017-07-07 07:00:00,6.36,6.38,6.27,6.27,1629280.0
ZZZZZZ,2018-11-27 07:00:00,5.23,5.25,5.1,5.13,3066680.0
ZZZZZZ,2025-04-16 07:00:00,16.3,16.7,15.0,15.4,142804.0
ZZZZZZ,2026-03-24 07:00:00,10.0,10.2,9.9,10.0,128100.0
ZZZZZZ,2019-10-18 07:00:00,10.92,10.92,10.92,10.92,200.0
ZZZZZZ,2019-04-10 07:00:00,4.25,4.25,4.25,4.25,500.0
ZZZZZZ,2026-03-10 07:00:00,15.9,15.9,14.7,14.7,3800.0
ZZZZZZ,2020-04-10 07:00:00,17.96,17.96,17.32,17.32,3400.0
ZZZZZZ,2016-03-11 07:00:00,5.27,5.77,5.27,5.77,1000.0
ZZZZZZ,2025-12-04 07:00:00,9.5,9.6,9.5,9.6,5400.0
ZZZZZZ,2025-10-03 07:00:00,26.0,26.2,25.7,26.0,2400.0
ZZZZZZ,2024-05-22 07:00:00,10.3,10.3,10.3,10.3,100.0
ZZZZZZ,2021-11-18 07:00:00,11.94,12.35,11.47,12.14,3900.0
ZZZZZZ,2023-05-17 07:00:00,10.72,10.72,10.43,10.69,17400.0
ZZZZZZ,2023-12-26 07:00:00,13.27,13.27,13.02,13.02,51300.0
ZZZZZZ,2019-06-07 07:00:00,6.32,6.32,6.32,6.32,100.0
ZZZZZZ,2025-12-25 07:00:00,15.0,15.0,15.0,15.0,800.0
ZZZZZZ,2022-06-06 07:00:00,27.88,27.88,27.88,27.88,100.0
ZZZZZZ,2024-02-21 07:00:00,11.31,11.31,9.66,9.66,18300.0
ZZZZZZ,2022-01-20 07:00:00,31.26,32.4,31.08,32.31,142477.0
ZZZZZZ,2024-07-15 07:00:00,43.49,44.07,42.92,43.3,698592.0
ZZZZZZ,2019-04-19 07:00:00,21.31,21.31,21.31,21.31,5200.0
ZZZZZZ,2019-12-26 07:00:00,14.5,14.5,14.5,14.5,724.0
ZZZZZZ,2022-04-13 07:00:00,24.1,24.35,24.1,24.1,4200.0
ZZZZZZ,2019-06-17 07:00:00,15.24,15.24,14.71,14.71,57241.0
ZZZZZZ,2023-11-24 07:00:00,9.8,9.8,9.7,9.8,1194.0
ZZZZZZ,2023-12-27 07:00:00,54.78,54.78,54.78,54.78,300.0
ZZZZZZ,2024-05-07 07:00:00,8.4,8.4,8.2,8.27,100600.0
ZZZZZZ,2017-08-14 07:00:00,7.03,7.14,7.03,7.05,38600.0
