symbol,date,open,high,low,close,volume
ABR,2019-07-03 07:00:00,4.57,4.57,4.57,4.29,10.0
ABR,2019-08-21 07:00:00,14.39,14.39,14.39,16.26,20.0
ABR,2020-01-03 07:00:00,8.3,8.51,8.3,9.55,2000.0
ABR,2020-01-07 07:00:00,8.85,8.85,8.85,9.48,1500.0
ABR,2021-11-23 07:00:00,14.25,14.25,14.25,14.32,10.0
ABR,2021-12-03 07:00:00,15.29,15.29,15.29,15.56,8.0
ACC,2018-07-25 07:00:00,4.8,4.72,4.49,4.49,2070.0
ACC,2019-07-09 07:00:00,5.36,5.51,5.48,5.5,1560.0
ACL,2020-05-11 07:00:00,7.36,7.86,7.56,7.86,58470.0
ACM,2015-10-02 07:00:00,3.21,3.44,3.25,3.44,554100.0
ACM,2015-10-15 07:00:00,3.21,3.34,3.25,3.34,503500.0
ACM,2015-10-22 07:00:00,3.11,3.25,3.15,3.15,383200.0
ACM,2015-10-30 07:00:00,3.11,3.25,3.15,3.25,440600.0
ACM,2015-11-02 07:00:00,3.21,3.53,3.25,3.53,1657750.0
ACM,2015-11-05 07:00:00,3.3,3.63,3.34,3.63,840520.0
ACM,2015-11-16 07:00:00,4.15,4.49,4.2,4.49,1883695.0
ACM,2015-11-19 07:00:00,4.43,4.87,4.49,4.87,1412840.0
ACM,2015-12-01 07:00:00,4.34,4.68,4.39,4.58,665400.0
ACM,2015-12-02 07:00:00,4.53,4.77,4.58,4.68,494800.0
ACM,2015-12-15 07:00:00,4.06,4.39,4.1,4.39,647700.0
ACM,2015-12-24 07:00:00,4.06,4.3,4.1,4.3,336301.0
ACM,2016-01-04 07:00:00,3.96,4.1,4.01,4.01,338410.0
ACM,2016-01-11 07:00:00,3.3,3.63,3.34,3.63,481400.0
ACM,2016-01-13 07:00:00,3.68,3.91,3.72,3.91,312600.0
ACM,2016-01-19 07:00:00,3.49,3.72,3.53,3.63,430700.0
ACM,2016-01-20 07:00:00,3.49,3.72,3.53,3.63,521740.0
ACM,2016-01-21 07:00:00,3.49,3.72,3.53,3.63,421914.0
ACM,2016-01-25 07:00:00,3.59,3.82,3.63,3.82,515140.0
ACM,2016-02-22 07:00:00,4.43,4.58,4.49,4.49,401100.0
ACM,2016-02-29 07:00:00,4.72,4.96,4.77,4.87,1024180.0
ACM,2016-03-01 07:00:00,4.81,5.06,4.87,4.87,1758120.0
ACM,2016-03-16 07:00:00,4.43,4.58,4.49,4.49,685700.0
ACM,2016-03-23 07:00:00,4.34,4.49,4.39,4.49,1147200.0
ACM,2016-04-06 07:00:00,3.77,4.2,3.82,4.1,1512421.0
ACM,2016-04-07 07:00:00,3.96,4.2,4.01,4.01,606610.0
ACM,2016-04-11 07:00:00,3.87,4.1,3.91,3.91,774600.0
ACM,2016-04-14 07:00:00,3.96,4.1,4.01,4.1,247500.0
ACM,2016-04-20 07:00:00,3.87,4.01,3.91,3.91,345100.0
ACM,2016-04-26 07:00:00,3.87,4.01,3.91,3.91,336500.0
ACM,2016-04-28 07:00:00,3.77,3.91,3.82,3.91,438900.0
ACM,2016-05-04 07:00:00,3.77,3.91,3.82,3.82,345400.0
ACM,2016-05-09 07:00:00,3.87,4.1,3.91,3.91,838100.0
ACM,2016-05-10 07:00:00,3.87,4.1,3.91,4.1,756200.0
ACM,2016-05-11 07:00:00,3.96,4.2,4.01,4.1,355700.0
ACM,2016-05-12 07:00:00,3.96,4.1,4.01,4.01,243100.0
ACM,2016-05-20 07:00:00,3.87,4.1,3.91,4.01,422700.0
ACM,2016-05-24 07:00:00,3.87,4.1,3.91,3.91,593500.0
ACM,2016-06-02 07:00:00,4.24,4.39,4.3,4.3,701207.0
ACM,2016-06-10 07:00:00,3.96,4.1,4.01,4.01,691700.0
ACM,2016-06-13 07:00:00,4.06,4.3,4.1,4.2,1333400.0
ACM,2016-06-15 07:00:00,4.06,4.2,4.1,4.2,360200.0
ACV,2020-01-22 07:00:00,41.79,41.79,41.06,41.85,61020.0
ACV,2020-02-18 07:00:00,36.39,36.39,36.39,36.27,79814.0
ACV,2020-06-12 07:00:00,37.61,38.76,36.7,38.82,428736.0
ADC,2020-04-22 07:00:00,6.86,6.26,6.26,6.26,110.0
AFX,2019-10-14 07:00:00,4.7,4.7,4.6,4.5,15000.0
AFX,2019-12-05 07:00:00,3.7,3.7,3.6,3.5,13000.0
AFX,2019-12-16 07:00:00,3.6,3.6,3.6,3.5,1519.0
AFX,2019-12-17 07:00:00,3.5,3.5,3.5,3.3,16700.0
AFX,2020-01-07 07:00:00,3.5,3.5,3.4,3.3,800.0
AFX,2020-01-08 07:00:00,3.4,3.4,3.3,3.2,2900.0
AG1,2018-05-14 07:00:00,10.52,9.61,9.61,10.52,40.0
AG1,2018-07-24 07:00:00,5.33,5.47,5.47,5.33,20.0
AG1,2018-08-27 07:00:00,6.66,6.45,6.45,6.66,10.0
AG1,2024-08-07 07:00:00,8.07,8.07,8.07,8.16,1.0
AG1,2024-09-06 07:00:00,8.25,8.25,8.25,8.16,8.0
AG1,2024-09-20 07:00:00,8.43,8.43,8.43,8.25,1.0
AG1,2024-09-23 07:00:00,8.43,8.43,8.43,8.25,1.0
AG1,2025-01-24 07:00:00,12.15,12.15,12.15,11.78,1.0
AGP,2019-12-30 07:00:00,8.45,8.45,8.45,7.95,18500.0
AGP,2020-02-18 07:00:00,8.94,8.94,8.94,9.49,1600.0
AGP,2020-06-16 07:00:00,8.4,8.4,8.4,8.2,3.0
AGP,2021-03-25 07:00:00,8.95,8.95,8.95,8.84,66.0
AGP,2022-11-03 07:00:00,13.36,13.36,13.36,13.29,16.0
AGP,2023-09-20 07:00:00,19.25,19.25,19.25,19.09,1.0
AGP,2023-10-27 07:00:00,18.79,18.79,18.79,18.71,26.0
AGP,2024-04-25 07:00:00,32.1,32.1,32.1,33.39,15.0
AGP,2024-10-02 07:00:00,33.64,33.64,33.64,34.16,2.0
AGP,2025-01-03 07:00:00,33.47,33.47,33.47,33.39,46.0
AGX,2018-06-08 07:00:00,21.64,20.2,20.2,21.64,30.0
AGX,2021-10-07 07:00:00,26.59,26.59,26.59,26.16,2.0
AGX,2022-09-30 07:00:00,32.55,32.55,32.55,33.75,1.0
AGX,2022-10-04 07:00:00,32.55,32.55,32.55,33.75,2.0
AGX,2022-12-14 07:00:00,28.58,28.58,28.58,32.73,5.0
AGX,2023-05-10 07:00:00,37.8,37.8,37.8,39.24,2.0
AGX,2023-05-12 07:00:00,37.8,37.8,37.8,39.24,40.0
AGX,2023-07-12 07:00:00,35.89,35.89,35.89,35.41,1.0
AGX,2023-09-11 07:00:00,38.86,38.86,38.86,36.37,1.0
AGX,2023-09-12 07:00:00,38.86,38.86,38.86,36.37,12.0
AGX,2024-06-17 07:00:00,69.92,69.92,69.92,62.31,10.0
AGX,2025-02-06 07:00:00,71.0,71.0,71.0,70.11,1.0
ALV,2024-12-03 07:00:00,3.47,3.47,3.47,3.53,7.0
ALV,2024-12-04 07:00:00,3.47,3.47,3.47,3.53,73.0
ANT,2019-03-26 07:00:00,3.29,3.29,3.29,3.23,10.0
ANT,2019-04-25 07:00:00,3.53,3.53,3.53,3.47,40.0
ANT,2019-09-13 07:00:00,3.59,3.59,3.59,4.07,3400.0
ANT,2019-12-16 07:00:00,6.04,6.04,6.04,4.66,5500.0
ANT,2019-12-30 07:00:00,5.98,5.98,5.98,6.28,100.0
ANT,2020-02-18 07:00:00,5.74,5.74,5.74,5.8,11200.0
ANT,2022-09-26 07:00:00,7.42,7.42,7.42,7.6,4.0
ANT,2024-02-21 07:00:00,8.53,8.53,8.53,8.8,2.0
APF,2018-10-19 07:00:00,10.49,10.46,10.46,10.49,50.0
APF,2019-03-21 07:00:00,9.19,9.19,9.19,9.34,20.0
APF,2019-04-02 07:00:00,9.19,9.19,9.19,9.49,20.0
APF,2020-02-18 07:00:00,7.13,7.13,7.13,8.17,500.0
APF,2020-04-22 07:00:00,9.39,9.21,9.04,9.04,2700.0
APF,2020-07-20 07:00:00,11.15,11.15,11.15,11.19,14.0
APF,2020-11-16 07:00:00,14.55,14.55,14.55,14.63,42.0
APF,2022-12-09 07:00:00,37.05,37.05,37.05,37.22,10.0
APF,2023-08-29 07:00:00,43.18,43.18,43.18,43.39,40.0
APF,2024-11-19 07:00:00,43.9,43.9,43.9,43.99,47.0
APF,2025-02-06 07:00:00,45.58,45.58,45.58,45.66,40.0
APF,2025-02-12 07:00:00,45.23,45.23,45.23,45.14,2.0
APG,2020-04-29 07:00:00,5.32,5.62,5.44,5.44,781040.0
APP,2015-09-28 07:00:00,9.19,9.52,9.52,9.52,200.0
APP,2015-09-30 07:00:00,8.93,9.25,9.11,9.11,1500.0
APP,2015-10-08 07:00:00,9.06,9.39,9.39,9.39,500.0
APP,2015-10-09 07:00:00,9.26,9.59,9.59,9.59,200.0
APP,2015-10-19 07:00:00,9.19,9.52,9.52,9.52,500.0
APP,2015-10-26 07:00:00,9.26,9.59,9.59,9.59,1000.0
APP,2015-10-27 07:00:00,9.26,9.59,9.59,9.59,20.0
APP,2015-10-30 07:00:00,9.26,9.59,9.59,9.59,700.0
APP,2015-11-02 07:00:00,8.47,8.77,8.7,8.7,2000.0
APP,2015-11-04 07:00:00,8.93,9.25,9.25,9.25,100.0
APP,2015-11-16 07:00:00,8.6,8.91,8.91,8.91,500.0
APP,2015-11-18 07:00:00,8.47,8.77,8.77,8.77,600.0
APP,2015-11-20 07:00:00,8.47,8.77,8.77,8.77,2104.0
APP,2015-11-26 07:00:00,8.27,8.57,8.57,8.57,7200.0
APP,2015-11-27 07:00:00,8.27,8.57,8.36,8.57,2900.0
APP,2015-12-14 07:00:00,8.27,8.57,8.57,8.57,1500.0
APP,2015-12-15 07:00:00,8.27,8.57,8.57,8.57,1400.0
APP,2015-12-16 07:00:00,8.27,8.57,8.57,8.57,800.0
APP,2015-12-18 07:00:00,8.4,8.77,8.7,8.77,2800.0
APP,2015-12-21 07:00:00,8.47,8.77,8.77,8.77,3800.0
APP,2015-12-28 07:00:00,7.94,8.22,8.22,8.22,2200.0
APP,2015-12-31 07:00:00,8.0,8.29,8.29,8.29,25000.0
APP,2016-01-12 07:00:00,8.01,8.58,8.29,8.58,2100.0
APP,2016-01-13 07:00:00,8.07,8.37,8.29,8.29,3500.0
APP,2016-01-18 07:00:00,7.59,7.87,7.87,7.87,25000.0
APP,2016-01-19 07:00:00,7.59,7.87,7.87,7.87,100.0
APP,2016-01-26 07:00:00,7.8,8.08,8.08,8.08,1000.0
APP,2016-02-01 07:00:00,7.8,8.08,8.08,8.08,2300.0
APP,2016-02-16 07:00:00,8.28,8.58,8.58,8.58,3100.0
APP,2016-02-18 07:00:00,7.87,8.15,8.15,8.15,100.0
APP,2016-02-19 07:00:00,8.21,8.51,8.44,8.44,436.0
APP,2016-02-24 07:00:00,7.87,8.15,8.15,8.15,1500.0
APP,2016-02-25 07:00:00,7.94,8.29,8.22,8.29,1310.0
APP,2016-02-26 07:00:00,8.0,8.29,8.29,8.29,10.0
APP,2016-02-29 07:00:00,8.0,8.37,8.29,8.37,2000.0
APP,2016-03-01 07:00:00,8.01,8.44,8.29,8.44,2500.0
APP,2016-03-03 07:00:00,8.07,8.44,8.37,8.44,1000.0
APP,2016-03-07 07:00:00,7.8,8.44,8.08,8.44,700.0
APP,2016-03-08 07:00:00,7.8,8.08,8.08,8.08,1400.0
APP,2016-03-09 07:00:00,7.87,8.15,8.15,8.15,500.0
APP,2016-03-11 07:00:00,7.8,8.08,8.08,8.08,1000.0
APP,2016-03-14 07:00:00,7.8,8.08,8.08,8.08,2000.0
APP,2016-03-21 07:00:00,7.31,7.58,7.58,7.58,700.0
APP,2016-03-23 07:00:00,6.9,7.15,7.15,7.15,1500.0
APP,2016-03-24 07:00:00,6.9,7.15,7.15,7.15,22.0
APP,2016-03-28 07:00:00,7.59,7.87,7.87,7.87,100.0
APP,2016-04-12 07:00:00,7.31,7.58,7.58,7.58,300.0
APP,2016-04-21 07:00:00,7.31,7.58,7.58,7.58,3200.0
APP,2016-04-27 07:00:00,7.31,8.29,7.58,8.29,1400.0
APP,2016-04-28 07:00:00,8.0,8.29,8.29,8.29,99.0
APP,2016-05-04 07:00:00,8.0,8.29,8.29,8.29,300.0
APP,2016-05-06 07:00:00,7.25,7.51,7.51,7.51,100.0
APP,2016-05-09 07:00:00,7.11,7.36,7.36,7.36,500.0
APP,2016-05-11 07:00:00,7.59,8.08,7.87,8.08,1500.0
APP,2016-05-12 07:00:00,7.94,8.22,8.22,8.22,100.0
APP,2016-05-13 07:00:00,7.94,8.22,8.22,7.94,100.0
APP,2022-09-13 07:00:00,6.6,6.6,6.6,6.8,28.0
APP,2022-09-14 07:00:00,6.6,6.6,6.6,6.8,57.0
APP,2022-11-02 07:00:00,5.2,5.2,5.2,4.5,44.0
APP,2022-11-16 07:00:00,5.5,5.5,5.5,5.6,26.0
APP,2023-07-03 07:00:00,4.7,4.7,4.7,4.8,51.0
APP,2023-11-01 07:00:00,4.3,4.3,4.3,4.7,16.0
APP,2024-03-19 07:00:00,4.8,4.8,4.8,5.2,32.0
APP,2024-05-08 07:00:00,6.1,6.1,6.1,6.0,5.0
APP,2024-12-16 07:00:00,8.4,8.4,8.4,8.2,1.0
ARM,2015-12-10 07:00:00,13.54,13.57,13.57,13.57,300.0
ARM,2015-12-11 07:00:00,13.44,13.47,13.47,13.47,10000.0
ARM,2015-12-18 07:00:00,13.54,13.57,13.57,13.57,1000.0
ARM,2015-12-21 07:00:00,13.64,13.67,13.67,13.67,8700.0
ARM,2015-12-23 07:00:00,13.78,14.54,13.81,14.54,4400.0
ARM,2015-12-31 07:00:00,13.59,13.62,13.62,13.62,100.0
ARM,2016-01-04 07:00:00,14.75,14.78,14.78,14.78,500.0
ARM,2016-01-05 07:00:00,13.3,14.88,13.33,14.78,2559.0
ARM,2016-01-06 07:00:00,14.75,15.02,14.78,14.78,3500.0
ARM,2016-01-07 07:00:00,13.3,15.12,13.33,13.86,4100.0
ARM,2016-01-12 07:00:00,15.09,15.12,15.12,15.12,3400.0
ARM,2016-01-18 07:00:00,15.09,15.12,15.12,15.12,3300.0
ARM,2016-01-26 07:00:00,13.59,14.05,13.62,14.05,1100.0
ARM,2016-01-28 07:00:00,14.03,14.54,14.05,14.54,3800.0
ARM,2016-01-29 07:00:00,14.46,14.54,14.49,14.54,300.0
ARM,2016-02-01 07:00:00,13.06,13.08,13.08,13.08,100.0
ARM,2016-02-02 07:00:00,13.59,13.62,13.62,13.62,100.0
ARM,2016-02-05 07:00:00,13.5,14.34,13.52,14.34,200.0
ARM,2016-02-16 07:00:00,12.91,13.76,12.94,13.76,200.0
ARM,2016-02-17 07:00:00,15.0,15.02,15.02,15.02,1000.0
ARM,2016-02-18 07:00:00,15.0,15.02,15.02,15.02,500.0
ARM,2016-02-19 07:00:00,15.0,15.02,15.02,15.02,100.0
ARM,2016-02-22 07:00:00,13.5,14.54,13.52,14.54,1600.0
ARM,2016-02-23 07:00:00,14.51,14.54,14.54,14.54,100.0
