symbol,date,open,high,low,close,volume
ABR,2019-02-20 07:00:00,-3.18,3.18,3.18,3.18,-100.0
ABR,2019-08-29 07:00:00,-14.18,14.25,14.11,14.11,-300.0
ABR,2019-09-03 07:00:00,-13.83,13.83,13.83,13.83,-100.0
ABR,2020-01-15 07:00:00,-11.07,11.07,11.07,11.07,-100.0
ABR,2021-01-05 07:00:00,-17.64,17.64,17.64,17.64,-400.0
ABR,2021-07-29 07:00:00,-14.6,15.7,14.6,15.7,-11100.0
ABR,2021-08-10 07:00:00,-15.63,15.63,15.63,15.63,-100.0
ABR,2023-09-11 07:00:00,-9.93,10.03,9.75,9.75,-4100.0
ABR,2023-11-27 07:00:00,-9.61,9.61,9.61,9.61,-700.0
ABR,2024-04-08 07:00:00,-8.85,8.85,8.85,8.85,-300.0
ABR,2024-10-28 07:00:00,-12.44,12.47,11.93,12.32,-13100.0
ABR,2025-02-19 07:00:00,-10.98,10.98,10.75,10.98,-2600.0
ABR,2025-04-09 07:00:00,-9.49,9.49,9.49,9.49,-100.0
ABR,2025-11-06 07:00:00,-13.45,13.45,13.4,13.4,-3800.0
ABR,2026-02-04 07:00:00,-12.5,13.05,12.45,12.85,-2300.0
ABT,2016-04-13 07:00:00,-24.87,24.87,24.17,24.42,-640.0
ABT,2017-04-20 07:00:00,-22.3,23.05,22.3,23.05,-40.0
ABT,2017-09-05 07:00:00,-20.89,20.89,19.28,20.12,-80.0
ABT,2018-02-02 07:00:00,-18.23,19.34,18.0,19.34,-1510.0
ABT,2018-06-08 07:00:00,-21.44,21.73,21.44,21.73,-2000.0
ABT,2018-08-22 07:00:00,-21.32,21.32,21.32,21.32,-100.0
ABT,2019-08-12 07:00:00,-24.57,24.63,24.57,24.63,-200.0
ABT,2019-12-10 07:00:00,-24.06,24.06,23.51,23.58,-970.0
ABT,2020-03-02 07:00:00,-22.82,22.82,22.82,22.82,-10.0
ABT,2020-04-14 07:00:00,-22.8,22.8,22.8,22.8,-70.0
ABT,2020-05-12 07:00:00,-23.51,24.04,23.51,24.04,-130.0
ABT,2020-12-23 07:00:00,-22.09,22.16,22.09,22.16,-470.0
ABT,2021-08-11 07:00:00,-20.15,20.44,20.0,20.0,-1900.0
ABT,2021-10-22 07:00:00,-25.74,25.74,25.0,25.0,-12100.0
ABT,2022-07-01 07:00:00,-28.91,29.48,27.47,29.4,-4200.0
ABT,2022-09-14 07:00:00,-28.79,28.79,28.68,28.72,-300.0
ABT,2022-12-01 07:00:00,-25.38,25.38,25.38,25.38,-600.0
ABT,2023-03-10 07:00:00,-28.37,28.41,28.37,28.41,-1100.0
ABT,2024-02-23 07:00:00,-29.59,29.59,29.59,29.59,-400.0
ABT,2025-12-10 07:00:00,-67.76,67.76,65.95,66.14,-3600.0
ABT,2026-03-13 07:00:00,-62.04,62.7,62.04,62.7,-3400.0
ACB,2016-05-10 07:00:00,-2.87,2.87,2.81,2.84,-92709.0
ACB,2019-05-28 07:00:00,-6.44,6.48,6.41,6.41,-941132.0
ACB,2019-08-12 07:00:00,-6.35,6.35,6.29,6.35,-578401.0
ACB,2020-06-29 07:00:00,-6.81,6.81,6.55,6.61,-4353272.0
ACB,2020-08-26 07:00:00,-7.92,7.99,7.84,7.95,-6018699.0
ACB,2021-05-25 07:00:00,-14.07,14.35,13.99,14.26,-8757400.0
ACB,2021-06-29 07:00:00,-17.31,17.33,17.1,17.1,-6677700.0
ACB,2021-08-16 07:00:00,-16.58,16.89,16.33,16.75,-12056700.0
ACB,2022-03-02 07:00:00,-15.81,15.95,15.43,15.43,-13881600.0
ACB,2022-10-31 07:00:00,-13.1,13.18,12.69,13.13,-3747300.0
ACB,2022-11-08 07:00:00,-12.07,12.74,11.81,12.48,-4065900.0
ACB,2023-02-07 07:00:00,-14.65,14.71,14.3,14.41,-2469300.0
ACB,2023-03-28 07:00:00,-14.44,14.53,14.33,14.33,-8286100.0
ACB,2023-12-15 07:00:00,-15.87,16.04,15.83,15.97,-6189100.0
ACB,2024-06-20 07:00:00,-20.51,20.77,20.39,20.72,-10170900.0
ACB,2024-07-05 07:00:00,-20.18,20.31,20.05,20.31,-6335000.0
ACB,2024-07-17 07:00:00,-20.31,21.06,20.22,20.47,-28890400.0
ACB,2024-10-31 07:00:00,-20.97,21.27,20.93,21.22,-5074500.0
ACB,2025-05-21 07:00:00,-21.52,21.64,21.39,21.43,-12362200.0
ACB,2026-01-29 07:00:00,-24.0,24.15,23.75,23.8,-20344800.0
ACC,2015-10-07 07:00:00,-5.83,5.83,5.44,5.44,-680.0
ACC,2016-04-14 07:00:00,-5.64,5.64,5.54,5.54,-1990.0
ACC,2016-10-03 07:00:00,-6.88,6.88,6.88,55.30232383861704,-5760.0
ACC,2016-10-21 07:00:00,-6.74,6.88,6.72,6.88,-2680.0
ACC,2016-11-11 07:00:00,-6.16,6.23,6.12,6.19,-5810.0
ACC,2016-12-27 07:00:00,-6.81,6.81,6.5,6.5,-550.0
ACC,2017-05-11 07:00:00,-5.78,5.78,5.77,5.77,-110.0
ACC,2018-12-19 07:00:00,-5.25,5.38,5.14,5.38,-1030.0
ACC,2019-06-17 07:00:00,-5.43,5.43,5.4,5.4,-30.0
ACC,2020-07-01 07:00:00,-4.94,5.17,4.6,5.17,-129590.0
ACC,2020-07-29 07:00:00,-4.31,4.31,4.19,4.31,-10690.0
ACC,2020-09-17 07:00:00,-5.55,5.6,5.46,5.59,-9580.0
ACC,2020-10-07 07:00:00,-5.53,5.75,5.53,5.72,-26110.0
ACC,2021-03-30 07:00:00,-7.45,7.45,7.3,7.3,-52900.0
ACC,2021-11-17 07:00:00,-10.7,10.75,10.52,10.7,-224500.0
ACC,2022-01-27 07:00:00,-19.6,19.6,18.79,19.22,-54000.0
ACC,2022-03-07 07:00:00,-22.31,22.69,20.84,22.46,-435300.0
ACC,2022-03-17 07:00:00,-21.31,22.46,21.31,22.08,-69900.0
ACC,2022-11-30 07:00:00,-11.2,11.2,10.7,11.0,-60300.0
ACC,2022-12-07 07:00:00,-10.55,10.85,10.3,10.85,-59000.0
ACC,2023-03-24 07:00:00,-13.7,13.9,13.6,13.85,-54200.0
ACC,2024-01-02 07:00:00,-12.1,12.35,12.1,12.35,-14800.0
ACC,2024-10-11 07:00:00,-14.15,14.2,13.9,13.9,-81400.0
ACC,2024-10-16 07:00:00,-13.9,13.9,13.7,13.7,-22000.0
ACC,2025-03-26 07:00:00,-14.65,14.7,14.3,14.7,-15700.0
ACL,2017-09-12 07:00:00,-2.95,2.95,2.95,2.95,-11600.0
ACL,2018-02-02 07:00:00,-2.78,2.81,2.7,2.78,-14170.0
ACL,2018-07-24 07:00:00,-3.35,3.35,3.35,3.35,-70.0
