time,open,high,low,close,volume,symbol
2018-07-10 07:00:00,4.08,4.15,4.08,4.15,700.0,ABR
2018-12-19 07:00:00,2.21,2.21,,,,ABR
2018-12-27 07:00:00,2.49,,,2.49,,ABR
2020-07-29 07:00:00,17.98,17.98,,17.29,1200.0,ABR
2021-03-08 07:00:00,18.26,18.26,14.18,14.18,200.0,ABR
2021-03-10 07:00:00,18.26,,15.29,15.29,200.0,ABR
2021-04-28 07:00:00,15.29,,15.29,15.29,400.0,ABR
2022-03-30 07:00:00,,14.32,14.15,14.15,800.0,ABR
2023-02-27 07:00:00,,,6.73,7.19,,ABR
2024-01-19 07:00:00,9.13,,9.13,,1100.0,ABR
2016-09-29 07:00:00,,25.2,,,3580.0,ABT
2017-01-05 07:00:00,22.1,23.68,,,2550.0,ABT
2017-12-22 07:00:00,16.28,,16.28,16.28,210.0,ABT
2018-08-10 07:00:00,22.22,22.66,,22.66,810.0,ABT
2019-03-15 07:00:00,27.84,,27.84,27.84,170.0,ABT
2020-10-27 07:00:00,22.09,,22.09,,460.0,ABT
2022-03-04 07:00:00,,31.71,,31.71,7400.0,ABT
2022-06-22 07:00:00,30.08,30.46,28.49,30.23,,ABT
2022-06-29 07:00:00,29.51,29.51,,,300.0,ABT
2023-07-27 07:00:00,,27.13,,27.13,100.0,ABT
2024-03-07 07:00:00,32.39,32.39,,,2800.0,ABT
2025-04-09 07:00:00,36.94,39.47,,,,ABT
2025-07-25 07:00:00,52.59,,,52.59,19000.0,ABT
2025-08-29 07:00:00,60.13,,,61.08,17000.0,ABT
2015-12-04 07:00:00,3.08,,3.05,,,ACB
2016-05-17 07:00:00,3.01,3.05,,,,ACB
2016-11-22 07:00:00,3.03,3.03,,3.03,289066.0,ACB
2018-07-26 07:00:00,5.91,6.89,,6.72,6326835.0,ACB
2020-04-03 07:00:00,,5.6,,,3574343.0,ACB
2020-08-17 07:00:00,,,7.28,7.45,6222301.0,ACB
2020-11-05 07:00:00,,9.64,9.34,,8550742.0,ACB
2021-09-10 07:00:00,15.25,,15.13,15.15,4101100.0,ACB
2022-01-12 07:00:00,15.34,15.74,15.27,15.53,,ACB
2022-02-08 07:00:00,,16.89,16.28,16.77,,ACB
2022-04-04 07:00:00,15.76,15.81,15.67,15.72,4794400.0,ACB
2022-12-30 07:00:00,12.89,13.01,12.77,,1339500.0,ACB
2023-01-16 07:00:00,,14.65,14.15,,3538100.0,ACB
2023-05-08 07:00:00,,,,14.62,2303900.0,ACB
2023-12-11 07:00:00,15.76,15.8,15.62,15.73,2274400.0,ACB
2024-04-23 07:00:00,18.81,,18.64,18.71,8540500.0,ACB
2024-05-03 07:00:00,19.03,19.31,,,,ACB
2024-10-25 07:00:00,20.89,,20.77,20.81,9220400.0,ACB
2016-12-28 07:00:00,,6.81,6.81,,,ACC
2017-04-18 07:00:00,6.16,,,6.14,5820.0,ACC
2018-05-02 07:00:00,5.16,5.23,5.16,,1500.0,ACC
2019-09-20 07:00:00,5.46,5.49,5.2,,,ACC
2020-09-03 07:00:00,,,5.98,6.03,108990.0,ACC
2021-07-09 07:00:00,6.48,6.52,6.35,6.35,55900.0,ACC
2021-10-11 07:00:00,7.89,7.89,7.76,7.85,,ACC
2021-10-19 07:00:00,8.16,8.2,7.98,8.2,45600.0,ACC
2022-04-15 07:00:00,18.27,18.51,18.17,18.32,86700.0,ACC
2022-07-14 07:00:00,14.75,,,,69600.0,ACC
2022-09-13 07:00:00,,16.46,16.03,,113300.0,ACC
2022-09-15 07:00:00,,16.46,,,54500.0,ACC
2022-10-18 07:00:00,16.3,,,16.25,,ACC
2023-06-08 07:00:00,14.0,14.0,13.75,13.75,62900.0,ACC
2023-10-23 07:00:00,11.5,11.6,11.5,,3200.0,ACC
2023-12-05 07:00:00,11.95,12.15,11.95,,115800.0,ACC
2025-07-11 07:00:00,14.0,14.05,,13.95,206100.0,ACC
2025-10-31 07:00:00,,13.35,13.0,13.35,,ACC
2025-11-12 07:00:00,13.0,,13.0,13.35,17800.0,ACC
2025-11-27 07:00:00,,,13.05,13.3,2600.0,ACC
2026-04-08 07:00:00,12.7,12.7,,,23000.0,ACC
2016-04-04 07:00:00,,3.35,3.2,,,ACL
2016-12-09 07:00:00,2.7,2.85,,2.85,20.0,ACL
2016-12-23 07:00:00,2.92,2.99,2.83,2.83,,ACL
2017-10-12 07:00:00,3.04,,3.04,3.1,,ACL
2017-12-11 07:00:00,3.14,,2.94,2.94,60.0,ACL
2018-05-21 07:00:00,3.68,3.68,3.63,,,ACL
2018-08-08 07:00:00,3.92,,,4.06,1210.0,ACL
2018-08-10 07:00:00,,,4.09,4.24,160.0,ACL
2018-10-24 07:00:00,,,6.9,7.19,,ACL
