time,open,high,low,close,volume,symbol,target_date
2026-05-18 07:00:00,12.5,13.15,12.5,13.15,1900,ABR,2026-05-18
2026-05-18 07:00:00,55.5,55.7,55.3,55.5,1100,ABT,2026-05-18
2026-05-18 07:00:00,23.1,23.25,22.9,23.0,11124600,ACB,2026-05-18
2026-05-18 07:00:00,12.85,12.85,12.15,12.75,8700,ACC,2026-05-18
2026-05-18 07:00:00,12.65,13.5,12.65,13.5,3900,ACL,2026-05-18
2026-05-18 07:00:00,44.2,45.5,43.4,45.1,2072500,ACV,2026-05-18
2026-05-18 07:00:00,18.4,18.4,18.4,18.4,200,ADC,2026-05-18
2026-05-18 07:00:00,10.4,10.45,10.3,10.35,42300,AFX,2026-05-18
2026-05-18 07:00:00,11.7,11.7,10.8,10.8,11000,AG1,2026-05-18
2026-05-18 07:00:00,12.05,12.05,11.85,12.0,214400,AGG,2026-05-18
2026-05-18 07:00:00,37.8,37.8,37.0,37.0,4100,AGP,2026-05-18
2026-05-18 07:00:00,240.0,245.0,240.0,240.0,900,AGX,2026-05-18
2026-05-18 07:00:00,7.3,7.3,7.2,7.2,1800,ALV,2026-05-18
2026-05-18 07:00:00,26.1,28.8,26.1,27.55,11300,ANT,2026-05-18
2026-05-18 07:00:00,22.8,22.9,22.65,22.7,411700,ANV,2026-05-18
2026-05-18 07:00:00,48.46,48.75,46.52,47.49,58300,APF,2026-05-18
2026-05-18 07:00:00,4.81,4.81,4.74,4.78,327600,APG,2026-05-18
2026-05-18 07:00:00,4.2,4.3,4.2,4.2,4200,APP,2026-05-18
2026-05-18 07:00:00,6.05,6.09,5.89,5.92,756900,ASM,2026-05-18
2026-05-18 07:00:00,46.0,46.0,45.0,45.0,1200,AVC,2026-05-18
2026-05-18 07:00:00,9.9,10.0,9.9,9.9,35100,AVG,2026-05-18
2026-05-18 07:00:00,11.3,11.3,11.2,11.2,2400,BAB,2026-05-18
2026-05-18 07:00:00,35.2,35.2,34.5,34.8,1572800,BAF,2026-05-18
2026-05-18 07:00:00,9.4,9.4,9.4,9.4,100,BBH,2026-05-18
2026-05-18 07:00:00,21.8,21.8,21.4,21.8,19900,BCA,2026-05-18
2026-05-18 07:00:00,53.8,56.8,53.4,56.2,1371800,BCM,2026-05-18
2026-05-18 07:00:00,24.9,24.9,24.9,24.9,500,BHA,2026-05-18
2026-05-18 07:00:00,29.0,29.0,28.5,29.0,1100,BHN,2026-05-18
2026-05-18 07:00:00,8.8,8.8,8.6,8.7,17500,BLI,2026-05-18
2026-05-18 07:00:00,7.1,7.1,7.1,7.1,100,BLN,2026-05-18
2026-05-18 07:00:00,14.8,14.8,13.9,14.3,216600,BMS,2026-05-18
2026-05-18 07:00:00,4.4,4.6,4.4,4.6,700,BMV,2026-05-18
2026-05-18 07:00:00,15.5,15.5,14.9,15.0,4000,BNW,2026-05-18
2026-05-18 07:00:00,8.43,8.45,8.37,8.44,20500,BTP,2026-05-18
2026-05-18 07:00:00,5.2,5.2,5.2,5.2,300,BTS,2026-05-18
2026-05-18 07:00:00,15.7,16.2,15.7,16.2,400,BTU,2026-05-18
2026-05-18 07:00:00,14.8,16.0,14.0,15.3,1900,BVL,2026-05-18
2026-05-18 07:00:00,25.7,26.2,25.7,26.2,158000,BVS,2026-05-18
2026-05-18 07:00:00,19.0,19.0,19.0,19.0,200,C22,2026-05-18
2026-05-18 07:00:00,20.9,20.9,19.0,19.0,800,CCI,2026-05-18
2026-05-18 07:00:00,14.2,14.2,14.2,14.2,1100,CCR,2026-05-18
2026-05-18 07:00:00,29.0,29.5,29.0,29.5,5700,CDN,2026-05-18
2026-05-18 07:00:00,13.2,13.2,13.2,13.2,6000,CDP,2026-05-18
2026-05-18 07:00:00,9.41,10.02,9.24,9.41,4400,CID,2026-05-18
2026-05-18 07:00:00,24.6,25.7,23.9,23.9,3300,CKD,2026-05-18
2026-05-18 07:00:00,26.2,26.5,25.3,25.7,26900,CLI,2026-05-18
2026-05-18 07:00:00,14.8,14.8,14.7,14.8,5600,CLX,2026-05-18
2026-05-18 07:00:00,71.3,71.3,58.3,67.0,1200,CMN,2026-05-18
2026-05-18 07:00:00,30.9,31.1,30.8,31.1,19000,CQN,2026-05-18
2026-05-18 07:00:00,7.5,7.5,7.5,7.5,200,CQT,2026-05-18
2026-05-18 07:00:00,7.5,7.55,7.41,7.55,156700,CRE,2026-05-18
2026-05-18 07:00:00,28.8,28.8,28.1,28.1,200,CRV,2026-05-18
2026-05-18 07:00:00,14.1,14.4,14.0,14.3,7300,CSC,2026-05-18
2026-05-18 07:00:00,11.9,11.9,11.65,11.8,120000,CSM,2026-05-18
2026-05-18 07:00:00,13.2,13.3,13.2,13.3,25400,CST,2026-05-18
2026-05-18 07:00:00,26.1,27.0,26.0,26.5,728500,CSV,2026-05-18
2026-05-18 07:00:00,17.4,17.4,17.4,17.4,2900,CTB,2026-05-18
2026-05-18 07:00:00,35.6,36.7,35.25,36.3,18917500,CTG,2026-05-18
2026-05-18 07:00:00,21.3,21.45,20.9,21.35,263900,CTI,2026-05-18
2026-05-18 07:00:00,7.0,7.0,6.5,6.9,26200,CTP,2026-05-18
2026-05-18 07:00:00,84.0,87.6,83.8,87.3,717700,CTR,2026-05-18
2026-05-18 07:00:00,5.3,5.4,5.3,5.4,20900,CTX,2026-05-18
2026-05-18 07:00:00,33.95,33.95,33.5,33.55,29900,D2D,2026-05-18
2026-05-18 07:00:00,22.4,22.5,22.2,22.3,2094700,DBC,2026-05-18
2026-05-18 07:00:00,50.3,50.3,49.0,50.3,77300,DBD,2026-05-18
2026-05-18 07:00:00,38.1,38.3,37.5,38.3,775200,DCL,2026-05-18
2026-05-18 07:00:00,51.0,51.9,50.6,51.6,1473600,DGC,2026-05-18
2026-05-18 07:00:00,41.8,42.1,41.55,42.0,882700,DGW,2026-05-18
2026-05-18 07:00:00,47.0,47.4,46.7,47.4,50900,DHA,2026-05-18
2026-05-18 07:00:00,12.0,12.3,11.9,12.0,14100,DHB,2026-05-18
2026-05-18 07:00:00,28.5,28.8,28.5,28.8,700,DHD,2026-05-18
2026-05-18 07:00:00,6.7,6.7,6.7,6.7,100,DHM,2026-05-18
2026-05-18 07:00:00,9.1,9.1,8.8,9.0,7200,DIH,2026-05-18
2026-05-18 07:00:00,2.67,2.79,2.67,2.69,1218100,DLG,2026-05-18
2026-05-18 07:00:00,50.0,50.2,50.0,50.2,2300,DNH,2026-05-18
2026-05-18 07:00:00,43.9,44.25,43.45,43.5,636600,DPR,2026-05-18
2026-05-18 07:00:00,2.19,2.2,2.15,2.16,360700,DRH,2026-05-18
2026-05-18 07:00:00,15.0,15.1,14.6,14.9,1092900,DRI,2026-05-18
2026-05-18 07:00:00,13.05,13.3,12.9,13.1,43900,DSC,2026-05-18
2026-05-18 07:00:00,5.2,5.2,5.1,5.2,278100,DST,2026-05-18
2026-05-18 07:00:00,1.9,2.0,1.9,2.0,3300,DTI,2026-05-18
2026-05-18 07:00:00,11.7,11.7,11.4,11.5,3100,DTL,2026-05-18
2026-05-18 07:00:00,20.5,20.6,20.5,20.6,25400,DVN,2026-05-18
2026-05-18 07:00:00,3.7,3.84,3.7,3.84,300,DXV,2026-05-18
2026-05-18 07:00:00,4.0,4.0,4.0,4.0,2900,E12,2026-05-18
2026-05-18 07:00:00,10.4,10.4,10.4,10.4,200,EBS,2026-05-18
2026-05-18 07:00:00,2.6,2.6,2.3,2.4,1000,EIN,2026-05-18
2026-05-18 07:00:00,16.45,16.45,16.0,16.15,425600,ELC,2026-05-18
2026-05-18 07:00:00,6.25,6.28,6.22,6.27,239700,EVG,2026-05-18
2026-05-18 07:00:00,4.6,4.6,4.5,4.6,42600,EVS,2026-05-18
2026-05-18 07:00:00,3.17,3.18,3.13,3.17,46300,FCM,2026-05-18
2026-05-18 07:00:00,12.85,13.0,12.7,13.0,772600,FCN,2026-05-18
2026-05-18 07:00:00,134.0,134.8,132.9,134.0,427500,FRT,2026-05-18
2026-05-18 07:00:00,13.6,13.8,13.6,13.7,25100,GDA,2026-05-18
2026-05-18 07:00:00,121.5,122.0,116.9,119.8,1211200,GEE,2026-05-18
2026-05-18 07:00:00,27.05,27.15,27.0,27.1,5000,GHC,2026-05-18
2026-05-18 07:00:00,4.8,4.8,4.8,4.8,400,GMC,2026-05-18
2026-05-18 07:00:00,7.16,7.49,7.16,7.49,1100,GMH,2026-05-18
2026-05-18 07:00:00,1.9,2.0,1.9,1.9,43200,GPC,2026-05-18
2026-05-18 07:00:00,11.5,11.8,11.45,11.7,386400,GSP,2026-05-18
2026-05-18 07:00:00,9.1,9.2,9.0,9.0,3800,HAC,2026-05-18
2026-05-18 07:00:00,16.0,16.0,15.55,15.7,8047900,HAG,2026-05-18
2026-05-18 07:00:00,6.82,7.0,6.82,7.0,2700,HAP,2026-05-18
2026-05-18 07:00:00,7.7,7.71,7.41,7.71,8100,HAS,2026-05-18
2026-05-18 07:00:00,7.9,7.9,7.82,7.9,4700,HCD,2026-05-18
2026-05-18 07:00:00,27.35,27.55,27.15,27.45,10510600,HDB,2026-05-18
2026-05-18 07:00:00,24.7,24.75,24.4,24.45,1642900,HDG,2026-05-18
2026-05-18 07:00:00,5.9,5.9,5.9,5.9,100,HEV,2026-05-18
2026-05-18 07:00:00,0.8,0.9,0.8,0.9,268600,HHG,2026-05-18
2026-05-18 07:00:00,4.96,4.96,4.7,4.8,734100,HID,2026-05-18
2026-05-18 07:00:00,9.5,9.5,8.3,8.9,5900,HIO,2026-05-18
2026-05-18 07:00:00,21.9,21.9,21.9,21.9,300,HKT,2026-05-18
2026-05-18 07:00:00,34.7,34.8,34.7,34.8,4300,HMS,2026-05-18
2026-05-18 07:00:00,22.3,22.3,22.3,22.3,100,HOT,2026-05-18
2026-05-18 07:00:00,16.3,16.3,16.3,16.3,2500,HPD,2026-05-18
2026-05-18 07:00:00,4.51,4.52,4.45,4.45,574600,HPX,2026-05-18
2026-05-18 07:00:00,16.0,16.0,16.0,16.0,1100,HSP,2026-05-18
2026-05-18 07:00:00,13.85,13.9,13.65,13.9,250800,HT1,2026-05-18
2026-05-18 07:00:00,41.6,41.6,34.2,41.6,1300,HTC,2026-05-18
2026-05-18 07:00:00,16.2,16.5,15.9,16.2,6200,ICG,2026-05-18
2026-05-18 07:00:00,5.94,6.03,5.9,5.94,287500,IDI,2026-05-18
2026-05-18 07:00:00,22.9,23.0,22.8,23.0,4900,IDV,2026-05-18
2026-05-18 07:00:00,9.97,9.99,9.91,9.98,1739900,IJC,2026-05-18
2026-05-18 07:00:00,5.3,5.3,5.2,5.2,7500,ILA,2026-05-18
2026-05-18 07:00:00,6.6,6.6,6.5,6.5,600,ILC,2026-05-18
2026-05-18 07:00:00,47.05,47.05,46.0,46.25,54400,IMP,2026-05-18
2026-05-18 07:00:00,15.8,16.15,15.7,16.1,11300,ITD,2026-05-18
2026-05-18 07:00:00,3.9,3.96,3.88,3.9,51800,JVC,2026-05-18
2026-05-18 07:00:00,48.6,48.6,47.65,48.4,384600,KDC,2026-05-18
2026-05-18 07:00:00,5.8,5.8,5.8,5.8,4100,KGM,2026-05-18
2026-05-18 07:00:00,2.76,2.82,2.76,2.8,51700,KMR,2026-05-18
2026-05-18 07:00:00,23.3,24.0,23.2,23.4,83300,L14,2026-05-18
2026-05-18 07:00:00,11.4,12.0,11.4,11.9,10900,LAI,2026-05-18
2026-05-18 07:00:00,28.9,30.5,26.9,29.85,11700,LBM,2026-05-18
2026-05-18 07:00:00,7.9,7.9,7.8,7.8,63500,LDP,2026-05-18
2026-05-18 07:00:00,5.0,5.0,5.0,5.0,100,LG9,2026-05-18
2026-05-18 07:00:00,96.7,96.7,92.8,94.5,1600,LHC,2026-05-18
2026-05-18 07:00:00,33.8,34.4,33.6,34.4,21100,LSG,2026-05-18
2026-05-18 07:00:00,32.8,32.8,32.8,32.8,100,MA1,2026-05-18
2026-05-18 07:00:00,12.3,12.3,12.2,12.2,1400,MAC,2026-05-18
2026-05-18 07:00:00,25.65,25.65,25.4,25.5,18793500,MBB,2026-05-18
2026-05-18 07:00:00,9.5,9.5,9.5,9.5,100,MBT,2026-05-18
2026-05-18 07:00:00,7.3,7.3,7.2,7.2,7800,MCF,2026-05-18
2026-05-18 07:00:00,2.6,2.6,2.5,2.5,13100,MCG,2026-05-18
2026-05-18 07:00:00,28.5,28.5,28.2,28.4,21300,MCM,2026-05-18
2026-05-18 07:00:00,5.2,5.2,5.1,5.1,1300,MCO,2026-05-18
2026-05-18 07:00:00,7.7,8.3,7.7,8.3,1100,MEL,2026-05-18
2026-05-18 07:00:00,11.3,11.3,10.3,11.2,24600,MIC,2026-05-18
2026-05-18 07:00:00,17.15,17.85,17.1,17.85,241400,MIG,2026-05-18
2026-05-18 07:00:00,31.6,31.6,31.3,31.5,49800,MML,2026-05-18
2026-05-18 07:00:00,15.8,15.9,15.7,15.9,38800,MPC,2026-05-18
2026-05-18 07:00:00,13.8,13.9,13.6,13.9,15810900,MSB,2026-05-18
2026-05-18 07:00:00,77.1,77.3,76.4,76.5,5621700,MSN,2026-05-18
2026-05-18 07:00:00,12.35,12.4,12.15,12.35,1263800,NAB,2026-05-18
2026-05-18 07:00:00,49.85,51.1,49.45,50.8,941400,NAF,2026-05-18
2026-05-18 07:00:00,8.4,8.4,8.1,8.1,81200,NAG,2026-05-18
2026-05-18 07:00:00,4.8,4.8,4.7,4.7,2800,NDT,2026-05-18
2026-05-18 07:00:00,6.7,6.7,6.7,6.7,1700,NDX,2026-05-18
2026-05-18 07:00:00,12.6,12.6,12.3,12.3,128000,NHA,2026-05-18
2026-05-18 07:00:00,10.45,10.55,10.4,10.55,49900,NHH,2026-05-18
2026-05-18 07:00:00,15.7,16.05,15.4,16.05,299400,NHT,2026-05-18
2026-05-18 07:00:00,26.55,26.55,26.15,26.2,1958000,NLG,2026-05-18
2026-05-18 07:00:00,60.0,60.0,60.0,60.0,100,NNT,2026-05-18
2026-05-18 07:00:00,75.0,76.0,74.4,76.0,2400,NSC,2026-05-18
2026-05-18 07:00:00,57.0,57.0,57.0,57.0,200,NTH,2026-05-18
2026-05-18 07:00:00,17.3,17.6,17.0,17.15,14873200,NVL,2026-05-18
2026-05-18 07:00:00,15.8,17.4,15.7,17.0,9035000,OIL,2026-05-18
2026-05-18 07:00:00,11.3,11.3,11.3,11.3,900,ONE,2026-05-18
2026-05-18 07:00:00,7.0,7.0,7.0,7.0,100,ONW,2026-05-18
2026-05-18 07:00:00,26.5,26.5,26.5,26.5,6200,PAP,2026-05-18
2026-05-18 07:00:00,5.9,6.0,5.9,6.0,28400,PBC,2026-05-18
2026-05-18 07:00:00,16.65,17.9,16.65,17.65,23676100,PC1,2026-05-18
2026-05-18 07:00:00,22.5,22.5,22.2,22.2,70200,PCH,2026-05-18
2026-05-18 07:00:00,3.9,3.9,3.9,3.9,300,PEG,2026-05-18
2026-05-18 07:00:00,11.1,11.3,11.0,11.2,19100,PGB,2026-05-18
2026-05-18 07:00:00,23.0,23.55,23.0,23.55,1200,PGD,2026-05-18
2026-05-18 07:00:00,6.3,6.4,5.9,5.9,400,PGT,2026-05-18
2026-05-18 07:00:00,23.6,25.0,23.6,24.0,37400,PGV,2026-05-18
2026-05-18 07:00:00,4.86,5.1,4.86,5.0,3700,PHC,2026-05-18
2026-05-18 07:00:00,15.1,15.3,15.1,15.3,700,PIC,2026-05-18
2026-05-18 07:00:00,31.0,31.0,31.0,31.0,600,PJC,2026-05-18
2026-05-18 07:00:00,4.26,4.32,4.16,4.2,47500,PLP,2026-05-18
2026-05-18 07:00:00,6.0,6.0,5.1,5.2,1200,PND,2026-05-18
2026-05-18 07:00:00,19.4,19.4,19.4,19.4,100,PNP,2026-05-18
2026-05-18 07:00:00,15.3,15.9,15.3,15.4,134900,POS,2026-05-18
2026-05-18 07:00:00,8.0,8.0,7.6,7.6,15600,POV,2026-05-18
2026-05-18 07:00:00,14.1,14.6,13.95,14.3,24632600,POW,2026-05-18
2026-05-18 07:00:00,27.6,27.6,27.4,27.6,6500,PPH,2026-05-18
2026-05-18 07:00:00,18.2,18.2,18.0,18.0,2200,PPP,2026-05-18
2026-05-18 07:00:00,26.9,26.9,26.3,26.8,2900,PRE,2026-05-18
2026-05-18 07:00:00,5.5,5.7,5.3,5.5,72300,PSB,2026-05-18
2026-05-18 07:00:00,27.0,27.0,27.0,27.0,400,PTI,2026-05-18
2026-05-18 07:00:00,2.6,2.7,2.6,2.67,3600,PTL,2026-05-18
2026-05-18 07:00:00,12.0,13.2,12.0,12.5,400,PTM,2026-05-18
2026-05-18 07:00:00,20.0,20.0,20.0,20.0,4800,PTO,2026-05-18
2026-05-18 07:00:00,9.3,9.4,9.2,9.3,16200,PTS,2026-05-18
2026-05-18 07:00:00,2.0,2.1,2.0,2.0,44500,PV2,2026-05-18
2026-05-18 07:00:00,6.7,7.2,6.7,7.1,105800,PVO,2026-05-18
2026-05-18 07:00:00,24.4,25.6,24.1,25.3,11406700,PVT,2026-05-18
2026-05-18 07:00:00,5.5,5.5,5.3,5.3,5100,QNC,2026-05-18
2026-05-18 07:00:00,15.5,17.5,15.5,17.5,200,QNW,2026-05-18
2026-05-18 07:00:00,34.2,34.2,34.2,34.2,300,QPH,2026-05-18
2026-05-18 07:00:00,26.0,26.0,26.0,26.0,500,QST,2026-05-18
2026-05-18 07:00:00,8.7,8.7,8.7,8.7,200,RIC,2026-05-18
2026-05-18 07:00:00,10.6,10.6,9.99,10.4,241000,RYG,2026-05-18
2026-05-18 07:00:00,9.5,9.6,9.3,9.5,84900,S99,2026-05-18
2026-05-18 07:00:00,12.4,12.4,12.4,12.4,300,SAC,2026-05-18
2026-05-18 07:00:00,6.73,6.73,6.5,6.65,79300,SAM,2026-05-18
2026-05-18 07:00:00,35.0,35.0,34.0,34.5,10100,SAS,2026-05-18
2026-05-18 07:00:00,28.3,28.4,28.1,28.4,5900,SBA,2026-05-18
2026-05-18 07:00:00,18.9,19.3,18.9,19.1,59500,SBB,2026-05-18
2026-05-18 07:00:00,6.85,6.85,6.85,6.85,200,SBV,2026-05-18
2026-05-18 07:00:00,16.85,16.85,16.4,16.4,2400,SC5,2026-05-18
2026-05-18 07:00:00,69.0,69.1,68.5,68.9,25400,SCG,2026-05-18
2026-05-18 07:00:00,21.0,21.0,20.5,20.6,25900,SCL,2026-05-18
