symbol,company_name,sector,listed_date
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Industrial Goods & Services,2018-06-12T00:00:00
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Food & Beverage,2006-12-25T00:00:00
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Banks,2006-11-21T00:00:00
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Construction & Materials,2011-06-30T00:00:00
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Food & Beverage,2007-09-05T00:00:00
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Basic Resources,2015-07-23T00:00:00
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Industrial Goods & Services,2016-11-21T00:00:00
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Media,2010-12-24T00:00:00
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Retail,2016-12-02T00:00:00
AG1,Công ty Cổ phần 28.1,Personal & Household Goods,2018-01-10T00:00:00
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Real Estate,2020-01-09T00:00:00
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Health Care,2015-10-06T00:00:00
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Retail,2015-09-14T00:00:00
ALV,Công ty Cổ phần Tập đoàn MCST,Construction & Materials,2010-09-17T00:00:00
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Food & Beverage,2016-12-22T00:00:00
ANV,Công ty Cổ phần Nam Việt,Food & Beverage,2007-12-07T00:00:00
APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Food & Beverage,2017-06-08T00:00:00
APG,Công ty Cổ phần Chứng khoán APG,Financial Services,2016-11-30T00:00:00
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Chemicals,2010-10-05T00:00:00
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,Industrial Goods & Services,2010-10-26T00:00:00
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Food & Beverage,2010-01-18T00:00:00
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Travel & Leisure,2016-03-29T00:00:00
AVC,Công ty Cổ phần Thủy điện A Vương,Utilities,2018-01-08T00:00:00
AVG,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,Chemicals,2024-08-09T00:00:00
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Banks,2017-12-28T00:00:00
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Food & Beverage,2021-12-03T00:00:00
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Industrial Goods & Services,2018-01-12T00:00:00
BBH,Công ty Cổ phần Bao bì Hoàng Thạch,Industrial Goods & Services,2020-05-14T00:00:00
BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,Industrial Goods & Services,2005-12-28T00:00:00
BCA,Công ty cổ phần B.C.H,Basic Resources,2021-09-08T00:00:00
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Real Estate,2018-02-21T00:00:00
BCP,Công ty Cổ phần Dược Enlie,Health Care,2015-09-14T00:00:00
BDW,Công ty Cổ phần Cấp thoát nước Bình Định,Utilities,2015-10-14T00:00:00
BHA,Công ty Cổ phần Thủy điện Bắc Hà,Utilities,2017-08-02T00:00:00
