date,symbol,Open,High,Low,Volume,Close
2026-01-31,ACB,23850,24100,23800,15667300,23800
2026-02-01,ACB,23850,24100,23800,15667300,23800
2026-02-02,ACB,24050,24050,23700,14303300,24100
2026-02-04,ACB,23700,23800,23550,7977800,23700
2026-02-04,ACB,23700,23800,23550,17881700,23700
2026-02-05,ACB,23650,23700,23450,14043600,23600
2026-02-08,ACB,23400,23450,23000,18597300,23450
2026-02-09,ACB,23200,23350,22900,11128300,23000
2026-02-12,ACB,23650,23850,23550,17469600,23650
2026-02-13,ACB,23850,23900,23700,13629700,23850
2026-02-14,ACB,23850,23900,23700,13629700,23850
2026-02-15,ACB,23850,23900,23700,13629700,23850
2026-02-23,ACB,24000,24100,23850,11535400,23850
2026-02-25,ACB,24100,24450,24050,16965000,24000
2026-02-26,ACB,24500,24550,24250,13367200,24450
2026-02-28,ACB,24450,24600,24200,11051000,24450
2026-03-04,ACB,23500,23600,23100,21996800,23500
2026-03-05,ACB,23500,23550,23200,9923300,23200
2026-03-07,ACB,23500,23600,23200,11699100,23550
2026-03-08,ACB,23500,23600,23200,11699100,23550
2026-03-11,ACB,23050,23600,23000,18301200,23150
2026-03-12,ACB,23000,23250,22600,15668600,23200
2026-03-14,ACB,22950,23450,22800,15525700,23150
2026-03-15,ACB,22950,23450,22800,15525700,23150
2026-03-18,ACB,23750,23900,23550,10506600,23750
2026-03-26,ACB,23700,23700,23300,8294500,23800
2026-03-29,ACB,23400,23800,23300,7638400,23600
2026-04-08,ACB,23700,24150,23550,19727300,23200
