date,symbol,Open,High,Low,Volume,Close
2026-01-31,ANV,28600,29250,28400,1923800,28550
2026-02-01,ANV,28600,29250,28400,1923800,28550
2026-02-02,ANV,28750,29500,28400,3270100,28550
2026-02-04,ANV,28750,30000,28500,2367200,28500
2026-02-04,ANV,28750,30000,28500,3331500,28500
2026-02-05,ANV,29200,29400,28000,2108300,29200
2026-02-08,ANV,28100,28700,27300,2996000,28000
2026-02-09,ANV,27600,27600,26700,1235700,27300
2026-02-12,ANV,26600,26600,26200,774700,26400
2026-02-13,ANV,26400,26500,26200,885400,26400
2026-02-14,ANV,26400,26500,26200,885400,26400
2026-02-15,ANV,26400,26500,26200,885400,26400
2026-02-23,ANV,27250,27300,27000,1223700,26500
2026-02-25,ANV,27400,28350,27200,3200600,27250
2026-02-26,ANV,28200,28400,27500,1610300,28100
2026-02-28,ANV,27750,27750,27050,1946900,27750
2026-03-04,ANV,26100,26400,25500,1929300,26050
2026-03-05,ANV,26350,26400,25550,1592500,26200
2026-03-07,ANV,25500,25550,24550,1811700,25550
2026-03-08,ANV,25500,25550,24550,1811700,25550
2026-03-11,ANV,22800,23900,22800,1298700,22350
2026-03-12,ANV,24000,24350,23550,1314600,23900
2026-03-14,ANV,23800,24400,23600,1189800,24100
2026-03-15,ANV,23800,24400,23600,1189800,24100
2026-03-18,ANV,24100,24150,23600,664700,24100
2026-03-26,ANV,23100,23100,22750,612600,23100
2026-03-29,ANV,22750,23550,22750,813600,22750
2026-04-08,ANV,24350,24650,23850,1540700,23700
