date,symbol,Open,High,Low,Volume,Close
2026-01-31,BCM,67000,69300,66900,1823000,66000
2026-02-01,BCM,67000,69300,66900,1823000,66000
2026-02-02,BCM,70000,72000,68500,2104800,68100
2026-02-04,BCM,74500,74800,73100,933600,74000
2026-02-04,BCM,74500,74800,71500,1902200,74000
2026-02-05,BCM,71400,71900,68900,1391200,71900
2026-02-08,BCM,68000,68800,65500,2006400,68900
2026-02-09,BCM,66600,67000,64000,1810700,65500
2026-02-12,BCM,64000,64000,62100,1008700,64600
2026-02-13,BCM,62800,63300,62300,570900,62800
2026-02-14,BCM,62800,63300,62300,570900,62800
2026-02-15,BCM,62800,63300,62300,570900,62800
2026-02-23,BCM,64400,65000,63600,878900,63300
2026-02-25,BCM,65000,69100,64500,2413500,64600
2026-02-26,BCM,66600,67300,65800,782200,67000
2026-02-28,BCM,66100,68000,66100,1208300,66000
2026-03-04,BCM,62200,63000,58500,2212700,62700
2026-03-05,BCM,61200,61400,59000,1006100,60100
2026-03-07,BCM,58500,59500,58500,634000,59000
2026-03-08,BCM,58500,59500,58500,634000,59000
2026-03-11,BCM,54500,56900,54000,1047100,54000
2026-03-12,BCM,55200,56200,54800,543900,56300
2026-03-14,BCM,54800,55400,53700,1343400,55300
2026-03-15,BCM,54800,55400,53700,1343400,55300
2026-03-18,BCM,54100,54800,53700,475100,54100
2026-03-26,BCM,53400,54400,52800,544700,52900
2026-03-29,BCM,52900,54600,52800,662700,52800
2026-04-08,BCM,54300,55300,53600,861100,53200
