date,symbol,Open,High,Low,Volume,Close
2026-01-31,BID,52300,54500,51900,13696100,51900
2026-02-01,BID,52300,54500,51900,13696100,51900
2026-02-02,BID,53800,55200,52100,11934200,53900
2026-02-04,BID,54000,54400,53100,4071800,54100
2026-02-04,BID,54000,54400,52600,9645300,54100
2026-02-05,BID,53000,53300,51500,9817200,53000
2026-02-08,BID,50700,52300,50700,9885700,51500
2026-02-09,BID,51800,51800,50600,3595300,51400
2026-02-12,BID,48300,48500,47350,4806600,48500
2026-02-13,BID,47550,47700,46800,6762700,47550
2026-02-14,BID,47550,47700,46800,6762700,47550
2026-02-15,BID,47550,47700,46800,6762700,47550
2026-02-23,BID,47600,49700,47150,7557400,46900
2026-02-25,BID,48950,49950,48500,8375400,48750
2026-02-26,BID,48550,48900,47750,4690300,48500
2026-02-28,BID,48450,49100,47500,6519700,48450
2026-03-04,BID,43400,45600,43400,10734400,43550
2026-03-05,BID,46100,46100,44400,6063200,45600
2026-03-07,BID,44000,45000,43000,5423100,44400
2026-03-08,BID,44000,45000,43000,5423100,44400
2026-03-11,BID,41300,42350,41300,6154500,41800
2026-03-12,BID,41800,41900,40650,6452900,41700
2026-03-14,BID,40600,41250,39950,7923500,40750
2026-03-15,BID,40600,41250,39950,7923500,40750
2026-03-18,BID,41100,43000,41000,14609300,40450
2026-03-26,BID,39500,39700,38900,6156000,39500
2026-03-29,BID,38900,39900,38900,8196600,38900
2026-04-08,BID,40500,41450,40050,15053900,39400
