date,symbol,Open,High,Low,Volume,Close
2026-01-31,BMP,159800,163000,157500,289300,159800
2026-02-01,BMP,159800,163000,157500,289300,159800
2026-02-02,BMP,162900,162900,158800,67500,163000
2026-02-04,BMP,159100,159100,157600,72200,159000
2026-02-04,BMP,159100,159100,157500,138400,159000
2026-02-05,BMP,160000,160000,156500,125300,157500
2026-02-08,BMP,156200,157300,155500,117600,156600
2026-02-09,BMP,155500,157400,155200,65200,155500
2026-02-12,BMP,158000,159300,157000,72300,157000
2026-02-13,BMP,159600,159600,158000,72600,159300
2026-02-14,BMP,159600,159600,158000,72600,159300
2026-02-15,BMP,159600,159600,158000,72600,159300
2026-02-23,BMP,159500,161800,158900,186800,159000
2026-02-25,BMP,162600,162600,160500,74800,162500
2026-02-26,BMP,162000,162800,159400,90700,162000
2026-02-28,BMP,160500,160500,158000,188300,161000
2026-03-04,BMP,157100,157100,150300,202200,157100
2026-03-05,BMP,155900,156000,151500,193000,151400
2026-03-07,BMP,153000,153500,150100,99700,152000
2026-03-08,BMP,153000,153500,150100,99700,152000
2026-03-11,BMP,144900,146200,140500,143400,143200
2026-03-12,BMP,145000,145000,142100,87000,145000
2026-03-14,BMP,142200,143000,138300,382300,143500
2026-03-15,BMP,142200,143000,138300,382300,143500
2026-03-18,BMP,140000,140000,136000,312100,140300
2026-03-26,BMP,128800,128800,124100,293500,128200
2026-03-29,BMP,124300,128400,124300,195200,125100
2026-04-08,BMP,128200,133200,126500,596100,124500
