date,symbol,Open,High,Low,Volume,Close
2026-01-31,BSI,39500,39500,38850,328600,39100
2026-02-01,BSI,39500,39500,38850,328600,39100
2026-02-02,BSI,39250,39400,38500,246300,39200
2026-02-04,BSI,39150,40000,39150,372600,38900
2026-02-04,BSI,39150,40000,39150,485700,38900
2026-02-05,BSI,39300,39350,38600,378500,39300
2026-02-08,BSI,38300,38350,37500,648300,38600
2026-02-09,BSI,37650,37950,37100,255600,37500
2026-02-12,BSI,38450,38500,38000,130100,37950
2026-02-13,BSI,38000,38400,37850,243300,38100
2026-02-14,BSI,38000,38400,37850,243300,38100
2026-02-15,BSI,38000,38400,37850,243300,38100
2026-02-23,BSI,38700,38700,38200,154000,38000
2026-02-25,BSI,39500,39550,38500,425400,39200
2026-02-26,BSI,39000,39400,38700,291100,39200
2026-02-28,BSI,39100,39600,38600,416000,39000
2026-03-04,BSI,37750,38300,36450,764300,37750
2026-03-05,BSI,38900,40400,38550,1175800,38200
2026-03-07,BSI,39150,39150,37650,551600,39150
2026-03-08,BSI,39150,39150,37650,551600,39150
2026-03-11,BSI,35000,36900,34650,470300,34950
2026-03-12,BSI,36000,36600,35500,236400,36400
2026-03-14,BSI,35550,36000,35000,339200,36000
2026-03-15,BSI,35550,36000,35000,339200,36000
2026-03-18,BSI,35550,35700,34550,277300,35450
2026-03-26,BSI,33850,33850,33350,103200,33850
2026-03-29,BSI,33000,34550,33000,217400,33800
2026-04-08,BSI,38900,38900,37500,1153500,36900
