date,symbol,Open,High,Low,Volume,Close
2026-02-02,BSR,22700,23900,22400,32535700,22400
2026-02-04,BSR,23800,24500,23400,8895500,23900
2026-02-04,BSR,23800,24500,23400,18172400,23900
2026-02-05,BSR,24550,25150,24150,24530700,24050
2026-02-08,BSR,23800,25450,23200,31341200,24400
2026-02-09,BSR,25000,25100,24400,10409100,24550
2026-02-12,BSR,23800,24400,23800,10936300,23450
2026-02-13,BSR,23950,24800,23700,13364500,23900
2026-02-14,BSR,23950,24800,23700,13364500,23900
2026-02-15,BSR,23950,24800,23700,13364500,23900
2026-02-23,BSR,25300,26200,25100,14417700,24500
2026-02-25,BSR,28700,29950,27500,26335100,28000
2026-02-26,BSR,29300,30000,28350,23273900,29350
2026-02-28,BSR,30550,32000,30200,18188800,30000
2026-03-04,BSR,36100,37950,34100,27427500,35650
2026-03-05,BSR,37850,38450,35600,27388400,37850
2026-03-07,BSR,35800,37800,35700,21561100,35600
2026-03-08,BSR,35800,37800,35700,21561100,35600
2026-03-11,BSR,33500,36150,32950,19019300,33800
2026-03-12,BSR,37300,38000,36500,17242000,36150
2026-03-14,BSR,38250,39500,35200,35612800,37800
2026-03-15,BSR,38250,39500,35200,35612800,37800
2026-03-18,BSR,28450,32600,28450,37080100,30500
2026-03-26,BSR,27750,27800,26500,9550900,27500
2026-03-29,BSR,27350,27750,27000,10857200,27250
2026-04-08,BSR,25600,25900,24950,14571200,25150
