date,symbol,Open,High,Low,Volume,Close
2026-01-31,BVH,69300,71000,68500,707100,69100
2026-02-01,BVH,69300,71000,68500,707100,69100
2026-02-02,BVH,69800,74600,69800,1682700,69800
2026-02-04,BVH,79900,84500,79000,732200,79800
2026-02-04,BVH,79900,84500,79000,1943400,79800
2026-02-05,BVH,81400,82700,79100,973400,82000
2026-02-08,BVH,77500,82000,75200,1731400,79500
2026-02-09,BVH,77900,79000,76000,524900,78000
2026-02-12,BVH,79000,79300,76300,394100,78300
2026-02-13,BVH,77100,77100,74000,646400,76600
2026-02-14,BVH,77100,77100,74000,646400,76600
2026-02-15,BVH,77100,77100,74000,646400,76600
2026-02-23,BVH,77000,81300,76800,835500,76000
2026-02-25,BVH,84400,87400,79500,1181200,84000
2026-02-26,BVH,85100,85500,81900,615300,86000
2026-02-28,BVH,83900,84200,80000,975100,84000
2026-03-04,BVH,81600,82100,75900,1456800,81600
2026-03-05,BVH,80100,81500,76000,668100,80000
2026-03-07,BVH,74700,77400,74000,979400,76000
2026-03-08,BVH,74700,77400,74000,979400,76000
2026-03-11,BVH,71000,75500,70500,599100,71300
2026-03-12,BVH,74400,78000,72300,788500,74500
2026-03-14,BVH,72400,74400,71300,555100,72300
2026-03-15,BVH,72400,74400,71300,555100,72300
2026-03-18,BVH,76700,76700,72400,489900,75700
2026-03-26,BVH,85700,85700,81500,802700,85900
2026-03-29,BVH,81500,84000,81000,439300,81500
2026-04-08,BVH,81500,83500,79700,506900,79900
