date,symbol,Open,High,Low,Volume,Close
2026-01-31,BWE,46700,47000,46000,128800,46400
2026-02-01,BWE,46700,47000,46000,128800,46400
2026-02-02,BWE,46100,46500,45850,153900,46300
2026-02-04,BWE,45000,45450,44400,122100,45000
2026-02-04,BWE,45000,45450,44000,226800,45000
2026-02-05,BWE,44050,44250,43650,224100,44150
2026-02-08,BWE,43650,43750,43450,100500,43650
2026-02-09,BWE,43500,43900,43400,105600,43500
2026-02-12,BWE,43600,44100,43500,54800,43500
2026-02-13,BWE,44300,44500,43700,170600,44000
2026-02-14,BWE,44300,44500,43700,170600,44000
2026-02-15,BWE,44300,44500,43700,170600,44000
2026-02-23,BWE,44500,44500,44200,74100,44500
2026-02-25,BWE,44300,44800,43700,187900,43950
2026-02-26,BWE,44500,44550,43800,107800,44000
2026-02-28,BWE,44050,45050,43800,185700,44000
2026-03-04,BWE,45200,45200,44200,166800,45200
2026-03-05,BWE,44850,45500,44850,134000,44850
2026-03-07,BWE,45100,45500,44600,123400,45250
2026-03-08,BWE,45100,45500,44600,123400,45250
2026-03-11,BWE,43300,43450,42800,478600,43300
2026-03-12,BWE,43000,43050,42400,168900,43000
2026-03-14,BWE,42600,43300,42600,181500,42700
2026-03-15,BWE,42600,43300,42600,181500,42700
2026-03-18,BWE,42500,43000,41950,167000,42600
2026-03-26,BWE,43150,43150,42600,71000,43000
2026-03-29,BWE,42900,43200,42800,228200,42900
2026-04-08,BWE,43000,43300,43000,598300,42850
