date,symbol,Open,High,Low,Volume,Close
2026-01-31,CII,18200,18800,18200,17055900,18050
2026-02-01,CII,18200,18800,18200,17055900,18050
2026-02-02,CII,18500,18750,18050,9224900,18450
2026-02-04,CII,18300,18550,18100,5304500,18250
2026-02-04,CII,18300,18750,18100,10141000,18250
2026-02-05,CII,18500,18850,18100,12169400,18400
2026-02-08,CII,17900,18000,17100,14415400,18100
2026-02-09,CII,17200,17400,16950,6233400,17100
2026-02-12,CII,17950,18100,17700,3292200,17800
2026-02-13,CII,17750,18450,17650,10723900,17700
2026-02-14,CII,17750,18450,17650,10723900,17700
2026-02-15,CII,17750,18450,17650,10723900,17700
2026-02-23,CII,18200,19000,18100,14191300,17900
2026-02-25,CII,18550,18650,18100,10518000,18500
2026-02-26,CII,18200,18550,18100,8831700,18200
2026-02-28,CII,18150,18150,17200,14237700,18150
2026-03-04,CII,16200,16650,15350,14919500,16300
2026-03-05,CII,16050,16650,16000,12282500,15750
2026-03-07,CII,16350,16500,16150,10084400,16200
2026-03-08,CII,16350,16500,16150,10084400,16200
2026-03-11,CII,14850,15800,14850,15622600,14800
2026-03-12,CII,15700,16450,15700,12460400,15800
2026-03-14,CII,15900,16950,15900,14772400,16200
2026-03-15,CII,15900,16950,15900,14772400,16200
2026-03-18,CII,16400,16750,16000,8545100,16300
2026-03-26,CII,18500,18600,18000,29666900,17800
2026-03-29,CII,18200,19150,18050,32515100,18200
2026-04-08,CII,18450,19100,18100,29359000,17900
