date,symbol,Open,High,Low,Volume,Close
2026-01-31,CMG,35650,36450,35550,620400,35550
2026-02-01,CMG,35650,36450,35550,620400,35550
2026-02-02,CMG,36000,37250,35250,1013800,35800
2026-02-04,CMG,37050,37700,36800,788100,37100
2026-02-04,CMG,37050,37700,36750,1064900,37100
2026-02-05,CMG,36950,36950,35600,649900,37000
2026-02-08,CMG,35600,35600,34750,685900,35600
2026-02-09,CMG,34950,35100,34450,250200,34750
2026-02-12,CMG,34700,34750,34100,131600,34300
2026-02-13,CMG,34200,34400,34100,357800,34400
2026-02-14,CMG,34200,34400,34100,357800,34400
2026-02-15,CMG,34200,34400,34100,357800,34400
2026-02-23,CMG,34500,36000,34100,508900,34100
2026-02-25,CMG,35500,35500,34900,468100,35000
2026-02-26,CMG,35200,35600,34950,329900,35150
2026-02-28,CMG,34500,35100,34500,273400,34950
2026-03-04,CMG,32000,32100,31000,766700,32450
2026-03-05,CMG,32300,32700,31800,350900,31900
2026-03-07,CMG,31700,31700,31000,375200,31850
2026-03-08,CMG,31700,31700,31000,375200,31850
2026-03-11,CMG,29600,30400,29300,374400,29300
2026-03-12,CMG,30200,30200,29600,235600,30200
2026-03-14,CMG,29650,29700,29300,280900,29650
2026-03-15,CMG,29650,29700,29300,280900,29650
2026-03-18,CMG,30050,30100,29200,313300,30050
2026-03-26,CMG,28850,29550,28700,372800,28800
2026-03-29,CMG,29000,29200,28600,555400,28900
2026-04-08,CMG,28600,29400,28450,585000,28000
