date,symbol,Open,High,Low,Volume,Close
2026-01-31,CTD,75900,77600,75600,511200,75900
2026-02-01,CTD,75900,77600,75600,511200,75900
2026-02-02,CTD,79600,80600,78300,1492800,76800
2026-02-04,CTD,86300,87300,85500,822900,84200
2026-02-04,CTD,86300,87300,84500,1312400,84200
2026-02-05,CTD,86200,86200,83800,770200,86000
2026-02-08,CTD,83200,83300,79900,1263500,83800
2026-02-09,CTD,80400,81500,78700,499500,80100
2026-02-12,CTD,82300,83000,81500,306300,82700
2026-02-13,CTD,81500,81900,80100,431200,81500
2026-02-14,CTD,81500,81900,80100,431200,81500
2026-02-15,CTD,81500,81900,80100,431200,81500
2026-02-23,CTD,82400,85800,81200,1045000,80900
2026-02-25,CTD,88100,88600,86800,832200,87700
2026-02-26,CTD,87000,87000,85800,456500,86800
2026-02-28,CTD,87000,90100,86100,1399100,86400
2026-03-04,CTD,85000,85100,80600,1845400,86300
2026-03-05,CTD,84800,85000,80500,1139400,83800
2026-03-07,CTD,80200,81600,79500,802400,80600
2026-03-08,CTD,80200,81600,79500,802400,80600
2026-03-11,CTD,78000,80500,77800,561300,78000
2026-03-12,CTD,79800,81500,78100,827300,80000
2026-03-14,CTD,78200,81900,77400,602900,78200
2026-03-15,CTD,78200,81900,77400,602900,78200
2026-03-18,CTD,82500,83400,80200,497200,83000
2026-03-26,CTD,84500,86000,83600,1215600,84100
2026-03-29,CTD,85600,85800,84200,862500,85500
2026-04-08,CTD,81400,83000,80800,847900,79500
