date,symbol,Open,High,Low,Volume,Close
2026-01-31,CTG,38200,39000,37800,28474900,38300
2026-02-01,CTG,38200,39000,37800,28474900,38300
2026-02-02,CTG,38800,39800,38700,23383000,38750
2026-02-04,CTG,39900,39900,39150,8930800,39700
2026-02-04,CTG,39900,39900,39150,18233300,39700
2026-02-05,CTG,39650,39700,38600,16072100,39600
2026-02-08,CTG,38200,38350,37400,24838700,38600
2026-02-09,CTG,37700,37850,36800,9918300,37400
2026-02-12,CTG,38300,38300,37750,8656700,37900
2026-02-13,CTG,38000,38600,37700,9259700,38000
2026-02-14,CTG,38000,38600,37700,9259700,38000
2026-02-15,CTG,38000,38600,37700,9259700,38000
2026-02-23,CTG,38950,39000,38550,8379600,38600
2026-02-25,CTG,38350,39100,38200,10573600,38200
2026-02-26,CTG,38550,38750,38050,11489400,38500
2026-02-28,CTG,38450,38450,38050,8888400,38500
2026-03-04,CTG,35750,36700,35450,19451000,35900
2026-03-05,CTG,37000,37100,36200,8015700,36400
2026-03-07,CTG,35900,36300,35650,8532000,36200
2026-03-08,CTG,35900,36300,35650,8532000,36200
2026-03-11,CTG,35000,35600,34700,12877000,35050
2026-03-12,CTG,34800,34900,34250,12913700,35100
2026-03-14,CTG,34300,34500,33950,8278900,34300
2026-03-15,CTG,34300,34500,33950,8278900,34300
2026-03-18,CTG,34600,35750,34600,12546300,34400
2026-03-26,CTG,34050,34100,33450,5738200,34050
2026-03-29,CTG,33700,35000,33600,12073500,33800
2026-04-08,CTG,34800,35500,34300,13337900,33700
