date,symbol,Open,High,Low,Volume,Close
2026-01-31,CTR,96100,98700,96100,613000,96000
2026-02-01,CTR,96100,98700,96100,613000,96000
2026-02-02,CTR,97000,100100,96900,833600,96700
2026-02-04,CTR,100900,101700,99000,436000,100800
2026-02-04,CTR,100900,101700,98900,787700,100800
2026-02-05,CTR,98200,98600,94800,1357800,99000
2026-02-08,CTR,92600,95700,92300,869700,94800
2026-02-09,CTR,94400,98500,94400,285500,94000
2026-02-12,CTR,93200,94000,93000,184300,93000
2026-02-13,CTR,93000,93800,92800,245100,93000
2026-02-14,CTR,93000,93800,92800,245100,93000
2026-02-15,CTR,93000,93800,92800,245100,93000
2026-02-23,CTR,94700,98500,94600,732500,92900
2026-02-25,CTR,95800,98000,94800,690600,95800
2026-02-26,CTR,97500,97600,95200,384500,96400
2026-02-28,CTR,95700,96400,94900,411300,95700
2026-03-04,CTR,87000,88800,84000,1041500,88100
2026-03-05,CTR,87600,89000,86900,465000,86800
2026-03-07,CTR,87300,87300,84500,443900,87000
2026-03-08,CTR,87300,87300,84500,443900,87000
2026-03-11,CTR,80100,83800,79800,574100,79600
2026-03-12,CTR,82800,82800,80800,336600,82900
2026-03-14,CTR,80600,82000,80200,401100,81000
2026-03-15,CTR,80600,82000,80200,401100,81000
2026-03-18,CTR,82700,83200,81800,315400,82700
2026-03-26,CTR,83400,87000,82300,1122400,82800
2026-03-29,CTR,86000,87000,84400,389600,85000
2026-04-08,CTR,85500,87500,84700,423900,84000
