date,symbol,Open,High,Low,Volume,Close
2026-01-31,CTS,31250,31750,31100,549500,31200
2026-02-01,CTS,31250,31750,31100,549500,31200
2026-02-02,CTS,31300,31500,30800,663400,31250
2026-02-04,CTS,32000,32550,31800,589700,31500
2026-02-04,CTS,32000,32550,31800,872800,31500
2026-02-05,CTS,31900,32000,31100,555400,31900
2026-02-08,CTS,31000,31050,30000,912700,31100
2026-02-09,CTS,30250,30300,29950,358800,30000
2026-02-12,CTS,30450,31150,30450,301200,30350
2026-02-13,CTS,30500,31000,30400,433700,30500
2026-02-14,CTS,30500,31000,30400,433700,30500
2026-02-15,CTS,30500,31000,30400,433700,30500
2026-02-23,CTS,31600,31600,30900,456200,30800
2026-02-25,CTS,32000,32200,31600,547100,31800
2026-02-26,CTS,32000,32100,31500,440800,31750
2026-02-28,CTS,32000,32400,31550,673000,31800
2026-03-04,CTS,30650,31400,29200,1449600,30600
2026-03-05,CTS,32000,33250,31500,2217300,31200
2026-03-07,CTS,32050,32050,30400,976700,32050
2026-03-08,CTS,32050,32050,30400,976700,32050
2026-03-11,CTS,27800,28850,27700,1110400,27800
2026-03-12,CTS,27800,28600,27700,585800,28400
2026-03-14,CTS,26800,27750,26800,1042000,27700
2026-03-15,CTS,26800,27750,26800,1042000,27700
2026-03-18,CTS,27300,27600,26750,748300,27300
2026-03-26,CTS,26050,26250,25850,428200,26050
2026-03-29,CTS,26000,26850,26000,725700,26050
2026-04-08,CTS,28550,29250,28100,1554400,27450
