date,symbol,Open,High,Low,Volume,Close
2026-01-31,DBC,28600,28600,28100,8545700,28300
2026-02-01,DBC,28600,28600,28100,8545700,28300
2026-02-02,DBC,28350,28450,27750,6926600,28150
2026-02-04,DBC,28200,28650,28200,3110700,28100
2026-02-04,DBC,28200,29000,28200,13612300,28100
2026-02-05,DBC,29400,29650,28400,9521800,29000
2026-02-08,DBC,28150,28300,27150,10880500,28400
2026-02-09,DBC,27450,27500,26550,6501500,27150
2026-02-12,DBC,26700,26950,26700,1580400,26650
2026-02-13,DBC,26750,26800,26600,2657700,26800
2026-02-14,DBC,26750,26800,26600,2657700,26800
2026-02-15,DBC,26750,26800,26600,2657700,26800
2026-02-23,DBC,26950,27000,26700,3126500,26700
2026-02-25,DBC,27300,27550,27050,3775400,27250
2026-02-26,DBC,27100,27250,26850,2735100,27050
2026-02-28,DBC,26850,26900,26500,6056100,26850
2026-03-04,DBC,25250,25500,23950,13217700,25100
2026-03-05,DBC,25200,25550,25000,4272900,24950
2026-03-07,DBC,24900,25000,24550,7243600,25050
2026-03-08,DBC,24900,25000,24550,7243600,25050
2026-03-11,DBC,23350,24150,23200,4502900,23100
2026-03-12,DBC,23900,24150,23450,3044500,24150
2026-03-14,DBC,23300,23750,23300,2508600,23600
2026-03-15,DBC,23300,23750,23300,2508600,23600
2026-03-18,DBC,23700,23950,23400,2158600,23600
2026-03-26,DBC,23100,23350,22800,1442700,23300
2026-03-29,DBC,23000,23300,22850,1756100,22900
2026-04-08,DBC,22950,23400,22700,3170900,22400
