date,symbol,Open,High,Low,Volume,Close
2026-01-31,DCM,37100,37500,36550,4038100,37000
2026-02-01,DCM,37100,37500,36550,4038100,37000
2026-02-02,DCM,36950,38000,36500,6163300,36600
2026-02-04,DCM,37600,38350,37300,1910800,37600
2026-02-04,DCM,37600,38550,37300,5412300,37600
2026-02-05,DCM,38600,39150,38500,7036500,38300
2026-02-08,DCM,38250,38950,37000,5823900,38600
2026-02-09,DCM,39000,39900,38100,5856700,38800
2026-02-12,DCM,39050,39400,38800,1402500,39500
2026-02-13,DCM,38850,39200,38400,2553900,38900
2026-02-14,DCM,38850,39200,38400,2553900,38900
2026-02-15,DCM,38850,39200,38400,2553900,38900
2026-02-23,DCM,39700,40300,39100,3327500,39200
2026-02-25,DCM,42050,42050,41000,2272200,42000
2026-02-26,DCM,41200,41350,40150,2757800,41150
2026-02-28,DCM,40750,43200,40200,10552000,40400
2026-03-04,DCM,49000,50700,46450,10768000,49150
2026-03-05,DCM,47500,49950,47500,7129000,50000
2026-03-07,DCM,48400,50000,46650,8151200,47700
2026-03-08,DCM,48400,50000,46650,8151200,47700
2026-03-11,DCM,47150,48700,45800,6388900,48700
2026-03-12,DCM,48250,50900,48000,9495700,48150
2026-03-14,DCM,51100,52300,47000,11046300,50200
2026-03-15,DCM,51100,52300,47000,11046300,50200
2026-03-18,DCM,43000,44350,41500,5221400,41450
2026-03-26,DCM,45450,48600,44800,7927500,45450
2026-03-29,DCM,49000,50400,47150,7559600,48600
2026-04-08,DCM,44600,45400,43500,4883900,44300
