date,symbol,Open,High,Low,Volume,Close
2026-01-31,DGC,69000,71000,68200,3461500,67800
2026-02-01,DGC,69000,71000,68200,3461500,67800
2026-02-02,DGC,69000,69200,66600,3457600,68600
2026-02-04,DGC,68000,70200,67700,2342600,67900
2026-02-04,DGC,68000,70200,67700,3240400,67900
2026-02-05,DGC,69000,69300,67500,1776500,68700
2026-02-08,DGC,67000,67200,65200,4564800,67700
2026-02-09,DGC,65800,67400,65700,1663800,65300
2026-02-12,DGC,68100,68700,67600,1138100,68500
2026-02-13,DGC,67900,68800,67300,1516100,67800
2026-02-14,DGC,67900,68800,67300,1516100,67800
2026-02-15,DGC,67900,68800,67300,1516100,67800
2026-02-23,DGC,69100,72500,68800,4067100,68400
2026-02-25,DGC,76600,76900,73500,7127000,75100
2026-02-26,DGC,76000,76000,73500,3485600,76000
2026-02-28,DGC,73300,74500,72000,3393400,73600
2026-03-04,DGC,73500,73900,70100,6232900,73800
2026-03-05,DGC,72300,73100,71000,2672600,70900
2026-03-07,DGC,71100,75600,71100,5742700,71000
2026-03-08,DGC,71100,75600,71100,5742700,71000
2026-03-11,DGC,77400,79700,76000,6463800,75900
2026-03-12,DGC,77000,82000,76200,9831700,77700
2026-03-14,DGC,80400,81700,76500,8635900,80900
2026-03-15,DGC,80400,81700,76500,8635900,80900
2026-03-18,DGC,64000,64000,64000,643800,68800
2026-03-26,DGC,55000,55000,51700,5037800,54700
2026-03-29,DGC,52700,52700,51600,5864900,52300
2026-04-08,DGC,55000,56300,54800,3396100,54200
