date,symbol,Open,High,Low,Volume,Close
2026-01-31,DGW,48000,49500,48000,6248100,47050
2026-02-01,DGW,48000,49500,48000,6248100,47050
2026-02-02,DGW,49500,52400,48700,8193600,49000
2026-02-04,DGW,57100,57100,55000,3081900,56000
2026-02-04,DGW,57100,57100,55000,5465900,56000
2026-02-05,DGW,55700,57900,53500,4974100,56000
2026-02-08,DGW,52700,54900,52500,5737400,53500
2026-02-09,DGW,54100,54100,52100,1701300,53500
2026-02-12,DGW,50400,51400,49800,1973000,50400
2026-02-13,DGW,50100,50700,49600,1888500,50600
2026-02-14,DGW,50100,50700,49600,1888500,50600
2026-02-15,DGW,50100,50700,49600,1888500,50600
2026-02-23,DGW,51000,52400,50500,3617000,50500
2026-02-25,DGW,52900,53500,51600,4837800,52200
2026-02-26,DGW,52400,53500,52100,2205900,52300
2026-02-28,DGW,53200,53500,51100,3000100,53000
2026-03-04,DGW,44500,46300,43200,6535900,45950
2026-03-05,DGW,46600,47400,46000,3600000,46000
2026-03-07,DGW,45250,46300,43800,3242000,46000
2026-03-08,DGW,45250,46300,43800,3242000,46000
2026-03-11,DGW,42300,45250,42000,3545200,42300
2026-03-12,DGW,44500,45450,43400,1868400,45250
2026-03-14,DGW,43200,44500,43050,2824800,44150
2026-03-15,DGW,43200,44500,43050,2824800,44150
2026-03-18,DGW,44500,44500,42000,1273000,43900
2026-03-26,DGW,43400,45000,42900,2163300,43600
2026-03-29,DGW,45000,45500,44200,1471700,45000
2026-04-08,DGW,44450,45800,44250,2145100,42950
