date,symbol,Open,High,Low,Volume,Close
2026-01-31,DIG,16150,16500,15950,13135200,16000
2026-02-01,DIG,16150,16500,15950,13135200,16000
2026-02-02,DIG,16400,16400,15900,7595100,16200
2026-02-04,DIG,16300,16450,16050,4166100,16300
2026-02-04,DIG,16300,16450,16050,10014300,16300
2026-02-05,DIG,16350,16500,15900,9650000,16300
2026-02-08,DIG,15600,15750,15300,12010500,15900
2026-02-09,DIG,15500,15600,15200,7976400,15300
2026-02-12,DIG,16150,16200,15750,6036000,16150
2026-02-13,DIG,15800,15950,15550,10646700,15800
2026-02-14,DIG,15800,15950,15550,10646700,15800
2026-02-15,DIG,15800,15950,15550,10646700,15800
2026-02-23,DIG,15950,16050,15700,5777200,15850
2026-02-25,DIG,15700,15750,15350,12231800,15600
2026-02-26,DIG,15450,15550,15200,9065300,15350
2026-02-28,DIG,15350,15400,14950,15970800,15350
2026-03-04,DIG,14050,14250,13250,13361000,14050
2026-03-05,DIG,14250,14350,13750,12327500,14050
2026-03-07,DIG,13950,14000,13500,7937500,13750
2026-03-08,DIG,13950,14000,13500,7937500,13750
2026-03-11,DIG,12650,13450,12650,13446400,12600
2026-03-12,DIG,13300,13550,13000,12249600,13350
2026-03-14,DIG,13350,13900,13250,13098000,13450
2026-03-15,DIG,13350,13900,13250,13098000,13450
2026-03-18,DIG,13450,13550,13100,7578400,13450
2026-03-26,DIG,13850,14000,13500,8624500,13800
2026-03-29,DIG,13600,14450,13600,24713800,13550
2026-04-08,DIG,14050,14500,14050,17760200,13600
