date,symbol,Open,High,Low,Volume,Close
2026-01-31,DPM,24250,24250,23850,4599700,23900
2026-02-01,DPM,24250,24250,23850,4599700,23900
2026-02-02,DPM,24100,24500,23900,5514200,23950
2026-02-04,DPM,24850,25100,24600,2552800,24700
2026-02-04,DPM,24850,25150,24600,5946500,24700
2026-02-05,DPM,25350,25750,25000,10423200,25000
2026-02-08,DPM,24750,25100,24150,6412400,25000
2026-02-09,DPM,24900,25450,24400,6154200,24700
2026-02-12,DPM,25250,25400,25000,3259800,25250
2026-02-13,DPM,25050,25300,24950,4495300,25000
2026-02-14,DPM,25050,25300,24950,4495300,25000
2026-02-15,DPM,25050,25300,24950,4495300,25000
2026-02-23,DPM,25300,25800,25150,5447000,25000
2026-02-25,DPM,27100,27200,26600,9320500,26900
2026-02-26,DPM,27000,27050,26350,8774600,26800
2026-02-28,DPM,26750,28000,26700,18937700,26500
2026-03-04,DPM,32500,32500,29350,27509400,31350
2026-03-05,DPM,30950,31600,29600,19382300,30600
2026-03-07,DPM,31050,31500,30500,15649900,30500
2026-03-08,DPM,31050,31500,30500,15649900,30500
2026-03-11,DPM,31300,31850,29900,13819800,31300
2026-03-12,DPM,32350,34000,32350,22324700,31800
2026-03-14,DPM,35000,35800,32500,17041900,34000
2026-03-15,DPM,35000,35800,32500,17041900,34000
2026-03-18,DPM,29000,30750,28850,7434500,28750
2026-03-26,DPM,29400,31200,28500,12313800,29400
2026-03-29,DPM,31300,31850,30650,9590700,31100
2026-04-08,DPM,28600,28900,27900,4350500,27950
