date,symbol,Open,High,Low,Volume,Close
2026-01-31,DSE,24300,24600,24250,290600,24300
2026-02-01,DSE,24300,24600,24250,290600,24300
2026-02-02,DSE,24550,24550,23800,246000,24550
2026-02-04,DSE,24000,24500,24000,180700,24000
2026-02-04,DSE,24000,24500,24000,218500,24000
2026-02-05,DSE,24350,24400,24000,211100,24350
2026-02-08,DSE,24000,24000,23400,209400,24000
2026-02-09,DSE,23450,23650,23450,183800,23400
2026-02-12,DSE,24100,24150,23950,208500,24100
2026-02-13,DSE,24000,24100,23850,201000,24000
2026-02-14,DSE,24000,24100,23850,201000,24000
2026-02-15,DSE,24000,24100,23850,201000,24000
2026-02-23,DSE,24100,24250,23750,269100,24100
2026-02-25,DSE,24250,24350,24150,226300,24200
2026-02-26,DSE,24150,24350,23900,206400,24150
2026-02-28,DSE,24150,24200,23850,221300,24150
2026-03-04,DSE,23200,24000,23050,344400,23300
2026-03-05,DSE,24050,25100,24050,803000,24000
2026-03-07,DSE,24400,24600,24250,477200,24350
2026-03-08,DSE,24400,24600,24250,477200,24350
2026-03-11,DSE,24100,24700,23900,464600,24100
2026-03-12,DSE,24400,24400,24000,321200,24400
2026-03-14,DSE,23900,23900,23100,559900,24000
2026-03-15,DSE,23900,23900,23100,559900,24000
2026-03-18,DSE,23950,24500,23700,413600,23950
2026-03-26,DSE,23500,23500,23150,231700,23600
2026-03-29,DSE,23200,24250,23200,353300,23200
2026-04-08,DSE,23750,24250,23700,471700,23000
