date,symbol,Open,High,Low,Volume,Close
2026-01-31,DXG,15250,15600,15150,11584600,15200
2026-02-01,DXG,15250,15600,15150,11584600,15200
2026-02-02,DXG,15300,15400,14950,9399100,15400
2026-02-04,DXG,15250,15400,15050,3018100,15250
2026-02-04,DXG,15250,15500,15050,8320000,15250
2026-02-05,DXG,15500,15550,15050,8941700,15400
2026-02-08,DXG,14900,14950,14300,17976600,15050
2026-02-09,DXG,14550,15000,14350,11540400,14300
2026-02-12,DXG,15500,15850,15500,6619600,15650
2026-02-13,DXG,15600,15800,15450,10869700,15750
2026-02-14,DXG,15600,15800,15450,10869700,15750
2026-02-15,DXG,15600,15800,15450,10869700,15750
2026-02-23,DXG,15800,16100,15550,16759000,15750
2026-02-25,DXG,16000,16000,15650,13630600,16000
2026-02-26,DXG,15850,15950,15500,11525200,15800
2026-02-28,DXG,15700,15700,15000,25843700,15750
2026-03-04,DXG,14550,14700,13550,28366400,14550
2026-03-05,DXG,14700,14700,13850,22331900,14550
2026-03-07,DXG,14350,14500,13650,24464400,14100
2026-03-08,DXG,14350,14500,13650,24464400,14100
2026-03-11,DXG,13350,14150,13300,22006600,13250
2026-03-12,DXG,13700,14050,13400,12586400,13850
2026-03-14,DXG,13600,14300,13550,13514400,13800
2026-03-15,DXG,13600,14300,13550,13514400,13800
2026-03-18,DXG,13850,14150,13600,11979900,13750
2026-03-26,DXG,14250,14300,13800,15497700,14150
2026-03-29,DXG,13800,14800,13800,41747300,13850
2026-04-08,DXG,14400,14850,14250,27214700,13900
