date,symbol,Open,High,Low,Volume,Close
2026-01-31,DXS,7370,7550,7360,1490900,7360
2026-02-01,DXS,7370,7550,7360,1490900,7360
2026-02-02,DXS,7460,7460,7170,2118100,7450
2026-02-04,DXS,7120,7180,7100,1194800,7110
2026-02-04,DXS,7120,7180,7100,2123100,7110
2026-02-05,DXS,7160,7220,7100,1762500,7130
2026-02-08,DXS,7080,7090,6830,2677900,7130
2026-02-09,DXS,6950,7000,6790,1711000,6960
2026-02-12,DXS,7270,7290,7170,1102300,7270
2026-02-13,DXS,7170,7340,7170,1893000,7200
2026-02-14,DXS,7170,7340,7170,1893000,7200
2026-02-15,DXS,7170,7340,7170,1893000,7200
2026-02-23,DXS,7390,7400,7280,1720900,7340
2026-02-25,DXS,7380,7380,7240,1936500,7380
2026-02-26,DXS,7310,7310,7200,1044700,7300
2026-02-28,DXS,7280,7280,7030,2575900,7280
2026-03-04,DXS,6620,6740,6220,3456500,6660
2026-03-05,DXS,6440,6590,6440,2072000,6440
2026-03-07,DXS,6560,6660,6420,1256400,6510
2026-03-08,DXS,6560,6660,6420,1256400,6510
2026-03-11,DXS,5950,6340,5940,1873500,5950
2026-03-12,DXS,6100,6260,5980,1243000,6180
2026-03-14,DXS,6150,6310,6120,1718100,6180
2026-03-15,DXS,6150,6310,6120,1718100,6180
2026-03-18,DXS,6290,6360,6170,1384400,6300
2026-03-26,DXS,6420,6420,6320,1047100,6370
2026-03-29,DXS,6420,6760,6380,4475000,6320
2026-04-08,DXS,7310,7540,7200,3434600,7050
