date,symbol,Open,High,Low,Volume,Close
2026-01-31,EIB,21200,21200,20700,9228500,20950
2026-02-01,EIB,21200,21200,20700,9228500,20950
2026-02-02,EIB,20750,20800,20400,9487100,20850
2026-02-04,EIB,21600,21650,21300,2827300,21500
2026-02-04,EIB,21600,21650,21300,5333800,21500
2026-02-05,EIB,21600,21600,21000,4545000,21450
2026-02-08,EIB,20900,20950,20500,7748100,21000
2026-02-09,EIB,21000,21100,20500,7314200,20600
2026-02-12,EIB,22500,22700,21900,19915800,21400
2026-02-13,EIB,22300,23200,22300,14234900,22350
2026-02-14,EIB,22300,23200,22300,14234900,22350
2026-02-15,EIB,22300,23200,22300,14234900,22350
2026-02-23,EIB,23100,23850,22550,13645700,23100
2026-02-25,EIB,24350,24550,23600,15154700,24200
2026-02-26,EIB,23600,24050,23300,12732900,23600
2026-02-28,EIB,23900,24000,23400,8495300,23900
2026-03-04,EIB,22800,23250,21850,14089400,22800
2026-03-05,EIB,22600,23300,22350,11494400,22500
2026-03-07,EIB,22350,22550,22000,6059400,22350
2026-03-08,EIB,22350,22550,22000,6059400,22350
2026-03-11,EIB,21200,22500,21100,12062300,21050
2026-03-12,EIB,22100,23300,22050,13211300,22450
2026-03-14,EIB,22300,22900,22300,6430000,22550
2026-03-15,EIB,22300,22900,22300,6430000,22550
2026-03-18,EIB,23150,23550,22500,9512700,23000
2026-03-26,EIB,22700,22750,22250,5525400,22550
2026-03-29,EIB,22450,22850,22300,5592900,22400
2026-04-08,EIB,22850,23200,22600,15475400,22100
