date,symbol,Open,High,Low,Volume,Close
2026-01-31,EVF,11650,11750,11500,4281600,11650
2026-02-01,EVF,11650,11750,11500,4281600,11650
2026-02-02,EVF,11650,11700,11350,3654300,11550
2026-02-04,EVF,11950,12050,11850,2588500,11850
2026-02-04,EVF,11950,12300,11850,7731400,11850
2026-02-05,EVF,12100,12250,11700,4027000,12000
2026-02-08,EVF,11650,11750,11400,4671900,11700
2026-02-09,EVF,11550,11550,11200,2439300,11400
2026-02-12,EVF,11500,11650,11450,1133700,11600
2026-02-13,EVF,11500,12300,11450,10160900,11500
2026-02-14,EVF,11500,12300,11450,10160900,11500
2026-02-15,EVF,11500,12300,11450,10160900,11500
2026-02-23,EVF,12300,12900,12050,24430600,12100
2026-02-25,EVF,13350,13350,12900,9628200,13150
2026-02-26,EVF,12900,13800,12850,17941400,12900
2026-02-28,EVF,13800,13950,13500,8052600,13800
2026-03-04,EVF,13750,13850,12900,21285000,13850
2026-03-05,EVF,13600,13900,13400,8487100,13300
2026-03-07,EVF,13200,14150,13100,16078800,13400
2026-03-08,EVF,13200,14150,13100,16078800,13400
2026-03-11,EVF,13850,14400,13750,20132600,13500
2026-03-12,EVF,14750,15250,14350,22065700,14400
2026-03-14,EVF,14500,15200,14250,19282100,14700
2026-03-15,EVF,14500,15200,14250,19282100,14700
2026-03-18,EVF,13950,14500,13650,9517600,13950
2026-03-26,EVF,14000,14400,13850,10218400,13900
2026-03-29,EVF,13900,14450,13800,10343500,13950
2026-04-08,EVF,14050,14200,13800,10687700,13500
