date,symbol,Open,High,Low,Volume,Close
2026-01-31,FPT,106400,106400,103900,10833200,106100
2026-02-01,FPT,106400,106400,103900,10833200,106100
2026-02-02,FPT,103300,104300,101600,9331400,104500
2026-02-04,FPT,103100,103500,102200,4025600,103900
2026-02-04,FPT,103100,103500,101500,11639700,103900
2026-02-05,FPT,101200,101900,99000,18088600,101900
2026-02-08,FPT,98000,100000,96700,9766800,99000
2026-02-09,FPT,98800,99400,97900,5108600,97600
2026-02-12,FPT,99000,99200,98400,4125200,98600
2026-02-13,FPT,98100,98500,96300,18508400,98800
2026-02-14,FPT,98100,98500,96300,18508400,98800
2026-02-15,FPT,98100,98500,96300,18508400,98800
2026-02-23,FPT,96800,96800,93100,22660400,96300
2026-02-25,FPT,92200,92500,89000,47733100,92500
2026-02-26,FPT,90000,92200,89900,17525500,89100
2026-02-28,FPT,91000,93500,90300,18705600,90500
2026-03-04,FPT,86900,87000,84200,23755700,87000
2026-03-05,FPT,86500,86800,84400,15906800,85100
2026-03-07,FPT,84400,84600,81500,23713900,84400
2026-03-08,FPT,84400,84600,81500,23713900,84400
2026-03-11,FPT,80000,81000,78300,10652800,79500
2026-03-12,FPT,78800,79200,77500,12722400,80200
2026-03-14,FPT,77100,78500,76300,9026000,77700
2026-03-15,FPT,77100,78500,76300,9026000,77700
2026-03-18,FPT,80000,80200,78100,6352700,79400
2026-03-26,FPT,77000,77000,74200,9743400,77000
2026-03-29,FPT,74500,76300,74000,9080300,74200
2026-04-08,FPT,76000,79100,75100,14610000,74000
