date,symbol,Open,High,Low,Volume,Close
2026-01-31,FRT,168900,171000,165000,998500,165000
2026-02-01,FRT,168900,171000,165000,998500,165000
2026-02-02,FRT,171300,181000,166100,1620300,169900
2026-02-04,FRT,172000,178200,172000,350300,174000
2026-02-04,FRT,172000,178200,172000,868000,174000
2026-02-05,FRT,175100,175100,169500,867600,174900
2026-02-08,FRT,168100,168800,160400,998500,170000
2026-02-09,FRT,163500,165700,161000,219600,160400
2026-02-12,FRT,167900,170300,165900,375100,167000
2026-02-13,FRT,167000,170000,164900,575700,167000
2026-02-14,FRT,167000,170000,164900,575700,167000
2026-02-15,FRT,167000,170000,164900,575700,167000
2026-02-23,FRT,170000,172300,168000,582500,170000
2026-02-25,FRT,171000,171000,168700,360100,171000
2026-02-26,FRT,170900,171900,168700,392200,171000
2026-02-28,FRT,170900,170900,165200,972000,170900
2026-03-04,FRT,162700,163800,155000,899600,165000
2026-03-05,FRT,163800,164000,157900,500800,163800
2026-03-07,FRT,157300,157300,150500,804500,159000
2026-03-08,FRT,157300,157300,150500,804500,159000
2026-03-11,FRT,145000,155300,145000,510800,145200
2026-03-12,FRT,153800,153800,147800,657000,155300
2026-03-14,FRT,150000,150000,148600,307600,153600
2026-03-15,FRT,150000,150000,148600,307600,153600
2026-03-18,FRT,154200,154200,149700,186500,152200
2026-03-26,FRT,158400,158400,154200,353800,158600
2026-03-29,FRT,154900,162500,154900,704800,158000
2026-04-08,FRT,151800,155000,151300,691600,149500
