date,symbol,Open,High,Low,Volume,Close
2026-01-31,FTS,32600,33050,32400,1120300,32600
2026-02-01,FTS,32600,33050,32400,1120300,32600
2026-02-02,FTS,32200,32950,32200,791100,32900
2026-02-04,FTS,33000,33700,33000,692300,32850
2026-02-04,FTS,33000,33700,33000,1016100,32850
2026-02-05,FTS,33350,33350,32600,649500,33200
2026-02-08,FTS,32350,32400,31850,1296300,32600
2026-02-09,FTS,31900,32150,31800,467700,31850
2026-02-12,FTS,32800,32800,32100,413900,32600
2026-02-13,FTS,32000,32900,32000,802500,32500
2026-02-14,FTS,32000,32900,32000,802500,32500
2026-02-15,FTS,32000,32900,32000,802500,32500
2026-02-23,FTS,33000,33000,32650,460800,32800
2026-02-25,FTS,33000,33200,32600,909600,33200
2026-02-26,FTS,32950,33100,32500,495600,32950
2026-02-28,FTS,32950,33400,32300,1052200,32900
2026-03-04,FTS,31900,31900,29950,2005000,31900
2026-03-05,FTS,32000,33150,31950,2313100,31700
2026-03-07,FTS,31800,31950,29750,3644800,31950
2026-03-08,FTS,31800,31950,29750,3644800,31950
2026-03-11,FTS,27300,29000,27150,1249800,27400
2026-03-12,FTS,28000,28500,27750,733200,28450
2026-03-14,FTS,27250,27900,27150,948400,27900
2026-03-15,FTS,27250,27900,27150,948400,27900
2026-03-18,FTS,27600,27750,27000,554800,27550
2026-03-26,FTS,25650,25650,24750,577400,25400
2026-03-29,FTS,24950,25650,24950,622300,25000
2026-04-08,FTS,29000,29750,28750,2039000,28350
