date,symbol,Open,High,Low,Volume,Close
2026-01-31,GAS,116800,122000,115800,3644900,116800
2026-02-01,GAS,116800,122000,115800,3644900,116800
2026-02-02,GAS,113900,116800,110000,5534800,117000
2026-02-04,GAS,117000,120000,115000,1049400,117000
2026-02-04,GAS,117000,120000,114300,2275800,117000
2026-02-05,GAS,115800,116800,112000,2555300,115800
2026-02-08,GAS,110000,118800,109500,3964600,112000
2026-02-09,GAS,117000,117800,114500,901300,115000
2026-02-12,GAS,106200,106200,101000,2700300,102000
2026-02-13,GAS,101500,103700,99700,2039200,101400
2026-02-14,GAS,101500,103700,99700,2039200,101400
2026-02-15,GAS,101500,103700,99700,2039200,101400
2026-02-23,GAS,104900,108700,104900,956400,101600
2026-02-25,GAS,110500,117500,108000,3689100,110500
2026-02-26,GAS,111000,111000,105500,3151900,110000
2026-02-28,GAS,106000,111900,105500,2827100,106000
2026-03-04,GAS,124000,131500,121800,4554900,123400
2026-03-05,GAS,126000,126900,119700,5317800,128700
2026-03-07,GAS,118600,118600,112000,4731500,119700
2026-03-08,GAS,118600,118600,112000,4731500,119700
2026-03-11,GAS,93300,103000,93200,4146800,97000
2026-03-12,GAS,103000,103000,98700,1736400,103000
2026-03-14,GAS,97900,101300,91800,4442600,98700
2026-03-15,GAS,97900,101300,91800,4442600,98700
2026-03-18,GAS,86400,92400,86400,2627100,86400
2026-03-26,GAS,83000,83000,79800,1290400,82500
2026-03-29,GAS,80400,82600,79900,2023700,80300
2026-04-08,GAS,79000,80400,78300,1438600,77300
