date,symbol,Open,High,Low,Volume,Close
2026-01-31,GEE,187000,187000,179200,210200,186000
2026-02-01,GEE,187000,187000,179200,210200,186000
2026-02-02,GEE,181600,181600,169300,298700,180800
2026-02-04,GEE,184000,187600,178100,309300,182800
2026-02-04,GEE,184000,187600,178100,416300,182800
2026-02-05,GEE,183000,183000,172700,319300,182000
2026-02-08,GEE,176400,176400,164000,338800,175000
2026-02-09,GEE,166800,166800,155800,185500,165000
2026-02-12,GEE,168300,168300,163000,194300,167000
2026-02-13,GEE,166000,176500,165900,964100,165000
2026-02-14,GEE,166000,176500,165900,964100,165000
2026-02-15,GEE,166000,176500,165900,964100,165000
2026-02-23,GEE,177300,186500,177300,640300,176500
2026-02-25,GEE,179800,179900,168500,737600,179000
2026-02-26,GEE,169500,180400,167000,1530200,168600
2026-02-28,GEE,182000,188000,175000,1362800,180400
2026-03-04,GEE,178000,178000,163700,1127000,176000
2026-03-05,GEE,167800,171000,164900,428100,164000
2026-03-07,GEE,168000,171000,162800,369800,165000
2026-03-08,GEE,168000,171000,162800,369800,165000
2026-03-11,GEE,145000,152700,142800,893900,142800
2026-03-12,GEE,154000,159000,151500,486800,152700
2026-03-14,GEE,153800,153800,144800,387000,153100
2026-03-15,GEE,153800,153800,144800,387000,153100
2026-03-18,GEE,157100,165900,157100,2025300,155100
2026-03-26,GEE,164600,169000,157000,1157400,162400
2026-03-29,GEE,169100,173100,167000,865900,169000
2026-04-08,GEE,190000,201000,190000,1038500,188000
