date,symbol,Open,High,Low,Volume,Close
2026-01-31,GEX,37100,37300,36250,7438900,36500
2026-02-01,GEX,37100,37300,36250,7438900,36500
2026-02-02,GEX,36900,36900,34700,9015500,36700
2026-02-04,GEX,38000,38450,36400,5042600,37450
2026-02-04,GEX,38000,38450,36400,8378100,37450
2026-02-05,GEX,37200,37200,35800,5524100,37100
2026-02-08,GEX,36000,36000,34250,10126300,36500
2026-02-09,GEX,34550,34750,33000,7929600,34250
2026-02-12,GEX,36200,36350,35050,4141600,35850
2026-02-13,GEX,35350,37600,35050,15872000,35150
2026-02-14,GEX,35350,37600,35050,15872000,35150
2026-02-15,GEX,35350,37600,35050,15872000,35150
2026-02-23,GEX,37900,40200,36800,24826700,37600
2026-02-25,GEX,40650,40650,38300,13166900,40300
2026-02-26,GEX,38900,40150,38500,12615200,38750
2026-02-28,GEX,40300,40400,39450,8620900,39900
2026-03-04,GEX,37900,37900,34900,12743900,37500
2026-03-05,GEX,35900,37500,35800,10949500,35050
2026-03-07,GEX,36650,37100,35600,8068100,35950
2026-03-08,GEX,36650,37100,35600,8068100,35950
2026-03-11,GEX,32400,34000,32100,5864400,31800
2026-03-12,GEX,34150,35700,33700,7084200,34000
2026-03-14,GEX,34450,34500,33600,5815900,34350
2026-03-15,GEX,34450,34500,33600,5815900,34350
2026-03-18,GEX,35500,36300,34500,5193600,34900
2026-03-26,GEX,35700,35750,34800,4371200,35600
2026-03-29,GEX,35500,36450,35250,7322100,35400
2026-04-08,GEX,37800,39200,37550,14559100,36650
