date,symbol,Open,High,Low,Volume,Close
2026-01-31,GMD,68000,70000,67000,1901300,67900
2026-02-01,GMD,68000,70000,67000,1901300,67900
2026-02-02,GMD,68600,69000,66600,1992700,68500
2026-02-04,GMD,72700,75000,72700,1251900,72900
2026-02-04,GMD,72700,75000,72700,2081200,72900
2026-02-05,GMD,73000,74300,71100,1906200,73300
2026-02-08,GMD,70700,73000,70200,2870600,71100
2026-02-09,GMD,72500,72800,69400,1312200,71500
2026-02-12,GMD,71400,74800,71400,4712200,71300
2026-02-13,GMD,73500,75000,73500,1367700,74500
2026-02-14,GMD,73500,75000,73500,1367700,74500
2026-02-15,GMD,73500,75000,73500,1367700,74500
2026-02-23,GMD,75500,75500,74000,1301200,75000
2026-02-25,GMD,80000,80400,79100,2200800,79800
2026-02-26,GMD,80200,83900,79500,3045200,80000
2026-02-28,GMD,82600,85100,80800,4404500,81400
2026-03-04,GMD,82000,82000,76100,3968900,81500
2026-03-05,GMD,79300,80300,77100,2754000,79000
2026-03-07,GMD,77000,79000,75900,2309900,77300
2026-03-08,GMD,77000,79000,75900,2309900,77300
2026-03-11,GMD,70700,76500,70700,4175300,71500
2026-03-12,GMD,76300,78100,75300,1764300,76500
2026-03-14,GMD,76300,77600,75100,1667700,76800
2026-03-15,GMD,76300,77600,75100,1667700,76800
2026-03-18,GMD,77700,79900,76300,2269800,76000
2026-03-26,GMD,77300,77800,74000,2235400,77200
2026-03-29,GMD,77800,78800,76600,2122600,77800
2026-04-08,GMD,73300,75100,72700,2957300,71900
