date,symbol,Open,High,Low,Volume,Close
2026-01-31,GVR,40850,41800,39650,6315900,40850
2026-02-01,GVR,40850,41800,39650,6315900,40850
2026-02-02,GVR,40000,41800,39650,8064000,39850
2026-02-04,GVR,42600,43000,41750,1737200,42800
2026-02-04,GVR,42600,43000,40500,6342400,42800
2026-02-05,GVR,41700,41700,40000,6209000,41700
2026-02-08,GVR,39000,40850,38850,5838700,40000
2026-02-09,GVR,39500,39700,38600,2801400,39000
2026-02-12,GVR,36000,36200,35300,2433900,35300
2026-02-13,GVR,35500,36400,35100,3173000,35350
2026-02-14,GVR,35500,36400,35100,3173000,35350
2026-02-15,GVR,35500,36400,35100,3173000,35350
2026-02-23,GVR,37500,38900,37000,2792600,36400
2026-02-25,GVR,39800,42200,39500,11972300,39450
2026-02-26,GVR,42600,42900,40050,6612100,42200
2026-02-28,GVR,40800,42300,39800,6357900,40800
2026-03-04,GVR,46000,46500,42800,8585300,45750
2026-03-05,GVR,42600,42900,40550,7891200,43600
2026-03-07,GVR,39650,41100,37750,8579500,40550
2026-03-08,GVR,39650,41100,37750,8579500,40550
2026-03-11,GVR,33350,35650,33350,4178200,33350
2026-03-12,GVR,35700,37850,35100,5803200,35650
2026-03-14,GVR,35300,36050,33300,7857500,35800
2026-03-15,GVR,35300,36050,33300,7857500,35800
2026-03-18,GVR,33050,34500,32950,3530400,33300
2026-03-26,GVR,30250,30500,29650,2429400,30500
2026-03-29,GVR,30000,32100,30000,4463000,30000
2026-04-08,GVR,32500,33400,32050,3915600,31500
