date,symbol,Open,High,Low,Volume,Close
2026-01-31,HAG,17100,17250,16950,3821300,17100
2026-02-01,HAG,17100,17250,16950,3821300,17100
2026-02-02,HAG,17400,17500,17150,7273000,17250
2026-02-04,HAG,17300,17300,17000,2275000,17350
2026-02-04,HAG,17300,17350,17000,5542600,17350
2026-02-05,HAG,17250,17300,17000,4338900,17350
2026-02-08,HAG,16800,16900,16100,8043200,17000
2026-02-09,HAG,16150,16300,15850,4842100,16100
2026-02-12,HAG,16350,16450,16250,2214400,16350
2026-02-13,HAG,16450,16750,16300,3561000,16450
2026-02-14,HAG,16450,16750,16300,3561000,16450
2026-02-15,HAG,16450,16750,16300,3561000,16450
2026-02-23,HAG,16750,16800,16500,2430400,16600
2026-02-25,HAG,16450,16500,16150,5023400,16400
2026-02-26,HAG,16400,16450,16100,5082200,16400
2026-02-28,HAG,16200,16250,15900,6415900,16200
2026-03-04,HAG,15800,15950,15050,11288400,15800
2026-03-05,HAG,16000,16100,15650,3548600,15900
2026-03-07,HAG,15800,15800,15350,5074500,15850
2026-03-08,HAG,15800,15800,15350,5074500,15850
2026-03-11,HAG,14500,14900,14500,4936500,14450
2026-03-12,HAG,15000,15350,14700,5659800,14900
2026-03-14,HAG,15000,15200,14950,4075600,15150
2026-03-15,HAG,15000,15200,14950,4075600,15150
2026-03-18,HAG,15200,15200,14900,3951800,15050
2026-03-26,HAG,15600,16000,15600,4301100,15950
2026-03-29,HAG,15950,16150,15800,5753600,15950
2026-04-08,HAG,15900,16250,15700,5248200,15550
