date,symbol,Open,High,Low,Volume,Close
2026-01-31,HCM,23700,23800,23500,10281500,23600
2026-02-01,HCM,23700,23800,23500,10281500,23600
2026-02-02,HCM,23600,23950,23250,10921000,23550
2026-02-04,HCM,24150,24800,24150,7737400,23900
2026-02-04,HCM,24150,24800,23950,12850600,23900
2026-02-05,HCM,23800,23800,23150,7571500,24100
2026-02-08,HCM,22950,23050,22500,10291300,23150
2026-02-09,HCM,22750,23150,22650,3948100,22500
2026-02-12,HCM,23500,23550,23300,3260400,23400
2026-02-13,HCM,23250,23900,23200,6568400,23300
2026-02-14,HCM,23250,23900,23200,6568400,23300
2026-02-15,HCM,23250,23900,23200,6568400,23300
2026-02-23,HCM,23850,23900,23600,5919100,23600
2026-02-25,HCM,24050,24700,23950,11183800,24100
2026-02-26,HCM,24200,24450,23900,7110200,24150
2026-02-28,HCM,24150,24550,23950,10392300,24150
2026-03-04,HCM,23900,24800,23300,22574400,23900
2026-03-05,HCM,25000,25750,24500,24647000,24600
2026-03-07,HCM,24400,24400,23200,17439700,24500
2026-03-08,HCM,24400,24400,23200,17439700,24500
2026-03-11,HCM,22050,22950,21850,9581100,22000
2026-03-12,HCM,22300,22550,21900,8759200,22650
2026-03-14,HCM,21700,22100,21550,8326600,21950
2026-03-15,HCM,21700,22100,21550,8326600,21950
2026-03-18,HCM,21900,22000,21150,8356300,21850
2026-03-26,HCM,21200,22000,21050,17367100,21100
2026-03-29,HCM,21800,22600,21600,11310100,21750
2026-04-08,HCM,25000,25900,24550,30192700,24250
