date,symbol,Open,High,Low,Volume,Close
2026-01-31,HDB,27900,28400,27800,15990600,27850
2026-02-01,HDB,27900,28400,27800,15990600,27850
2026-02-02,HDB,28000,28250,27250,16113700,28300
2026-02-04,HDB,27550,27600,27200,6288700,27550
2026-02-04,HDB,27550,27600,27200,13382500,27550
2026-02-05,HDB,27550,27900,27250,17052600,27550
2026-02-08,HDB,27200,27500,26500,27190700,27550
2026-02-09,HDB,26750,26800,26250,13142300,26500
2026-02-12,HDB,27850,28000,27650,9614300,27800
2026-02-13,HDB,27750,28200,27700,14478600,27850
2026-02-14,HDB,27750,28200,27700,14478600,27850
2026-02-15,HDB,27750,28200,27700,14478600,27850
2026-02-23,HDB,28300,28500,28050,10138800,28200
2026-02-25,HDB,28500,28850,28200,18493700,28500
2026-02-26,HDB,28500,28550,27950,14130400,28450
2026-02-28,HDB,28400,28400,27950,13120700,28400
2026-03-04,HDB,26400,26600,25700,17900500,26500
2026-03-05,HDB,26500,26600,25950,18266100,26350
2026-03-07,HDB,25900,26200,25600,11697700,25950
2026-03-08,HDB,25900,26200,25600,11697700,25950
2026-03-11,HDB,25150,26000,24950,14822800,25150
2026-03-12,HDB,25300,25750,25100,11637800,25750
2026-03-14,HDB,25300,25750,25200,8896300,25700
2026-03-15,HDB,25300,25750,25200,8896300,25700
2026-03-18,HDB,25700,26000,25250,9744800,25700
2026-03-26,HDB,24950,25000,24500,9142400,24900
2026-03-29,HDB,24600,25350,24550,14613100,24550
2026-04-08,HDB,25700,26500,25550,23664600,25100
