date,symbol,Open,High,Low,Volume,Close
2026-01-31,HDC,21600,22150,21500,4243100,21350
2026-02-01,HDC,21600,22150,21500,4243100,21350
2026-02-02,HDC,21700,22050,21250,2614000,21700
2026-02-04,HDC,21600,21850,21450,1388200,21650
2026-02-04,HDC,21600,22100,21450,3751900,21650
2026-02-05,HDC,22000,22750,22000,5525200,21900
2026-02-08,HDC,21800,21800,21000,3337000,22050
2026-02-09,HDC,21250,21400,20900,1645400,21050
2026-02-12,HDC,21400,21700,21250,1025800,21500
2026-02-13,HDC,21350,21450,21250,1471000,21350
2026-02-14,HDC,21350,21450,21250,1471000,21350
2026-02-15,HDC,21350,21450,21250,1471000,21350
2026-02-23,HDC,21450,21750,21200,2060500,21300
2026-02-25,HDC,21650,21750,21200,3123300,21600
2026-02-26,HDC,21250,21450,21200,1846200,21250
2026-02-28,HDC,21300,21300,20700,4645400,21350
2026-03-04,HDC,19000,19300,18000,5114500,19100
2026-03-05,HDC,18900,19150,18500,2235700,18500
2026-03-07,HDC,18500,18950,18450,2283900,18550
2026-03-08,HDC,18500,18950,18450,2283900,18550
2026-03-11,HDC,17100,18100,16750,3428500,17100
2026-03-12,HDC,17650,18200,17400,2614200,17700
2026-03-14,HDC,18000,18450,17850,3839800,17800
2026-03-15,HDC,18000,18450,17850,3839800,17800
2026-03-18,HDC,17850,18100,17450,1643000,17850
2026-03-26,HDC,18100,18100,17550,2393500,17950
2026-03-29,HDC,17600,18950,17600,6515900,17750
2026-04-08,HDC,18450,19000,18250,3630200,17900
