date,symbol,Open,High,Low,Volume,Close
2026-01-31,HDG,26550,27700,26550,5362500,26400
2026-02-01,HDG,26550,27700,26550,5362500,26400
2026-02-02,HDG,27400,27850,27000,2339500,27450
2026-02-04,HDG,27650,27650,27050,1007300,27650
2026-02-04,HDG,27650,27650,27050,1756100,27650
2026-02-05,HDG,27450,27750,27100,1537300,27450
2026-02-08,HDG,27000,27000,26050,2437600,27100
2026-02-09,HDG,26200,26300,25900,1122800,26100
2026-02-12,HDG,26950,26950,26600,549600,26800
2026-02-13,HDG,26750,26850,26600,810800,26800
2026-02-14,HDG,26750,26850,26600,810800,26800
2026-02-15,HDG,26750,26850,26600,810800,26800
2026-02-23,HDG,26750,26950,26550,1090000,26750
2026-02-25,HDG,27500,27550,26800,1147400,27400
2026-02-26,HDG,27000,27600,26700,2965500,26900
2026-02-28,HDG,27600,27600,27100,2236900,27600
2026-03-04,HDG,27350,28750,27350,6994000,27350
2026-03-05,HDG,28800,28850,28000,2272000,28700
2026-03-07,HDG,27800,28050,27350,2215400,28300
2026-03-08,HDG,27800,28050,27350,2215400,28300
2026-03-11,HDG,26200,27800,26200,2128600,26000
2026-03-12,HDG,27400,28800,27050,4569000,27800
2026-03-14,HDG,28500,28950,28250,3477600,28200
2026-03-15,HDG,28500,28950,28250,3477600,28200
2026-03-18,HDG,28500,28500,27500,2299000,28450
2026-03-26,HDG,30600,30900,29600,3519300,30600
2026-03-29,HDG,29600,30250,29600,2723900,29600
2026-04-08,HDG,28500,28900,27900,1978300,27800
