date,symbol,Open,High,Low,Volume,Close
2026-01-31,HHV,12200,12300,12150,4458200,12200
2026-02-01,HHV,12200,12300,12150,4458200,12200
2026-02-02,HHV,12300,12500,12200,3900600,12200
2026-02-04,HHV,12300,12800,12250,5875700,12300
2026-02-04,HHV,12300,12800,12250,8425500,12300
2026-02-05,HHV,12650,12650,12350,3506300,12500
2026-02-08,HHV,12250,12350,12050,4918200,12400
2026-02-09,HHV,12200,12200,12000,2151000,12050
2026-02-12,HHV,12300,12300,12150,1730100,12250
2026-02-13,HHV,12150,12250,12100,2898000,12200
2026-02-14,HHV,12150,12250,12100,2898000,12200
2026-02-15,HHV,12150,12250,12100,2898000,12200
2026-02-23,HHV,12300,12650,12250,4412800,12150
2026-02-25,HHV,12550,12800,12550,4882400,12500
2026-02-26,HHV,12600,12650,12400,2414600,12600
2026-02-28,HHV,12550,12550,12350,5065000,12500
2026-03-04,HHV,12100,12150,11500,8448000,12050
2026-03-05,HHV,12000,12400,12000,4754200,11900
2026-03-07,HHV,11800,12000,11750,3643100,12000
2026-03-08,HHV,11800,12000,11750,3643100,12000
2026-03-11,HHV,11050,11500,11050,3982700,11000
2026-03-12,HHV,11550,11950,11500,6858700,11350
2026-03-14,HHV,11650,12500,11550,13039500,11700
2026-03-15,HHV,11650,12500,11550,13039500,11700
2026-03-18,HHV,12200,12350,11850,5704300,12200
2026-03-26,HHV,12100,12250,11900,5351400,12100
2026-03-29,HHV,12050,12450,12000,7486200,12050
2026-04-08,HHV,12150,12350,12000,7375600,11800
