date,symbol,Open,High,Low,Volume,Close
2026-01-31,HPG,27300,27500,26750,40558400,27100
2026-02-01,HPG,27300,27500,26750,40558400,27100
2026-02-02,HPG,26800,26800,26250,44024300,26800
2026-02-04,HPG,26850,28450,26850,91239600,26750
2026-02-04,HPG,26850,28600,26850,145418100,26750
2026-02-05,HPG,28300,28350,27550,32887100,28300
2026-02-08,HPG,27350,28100,26800,67073000,27550
2026-02-09,HPG,27050,27300,26700,24310400,26800
2026-02-12,HPG,27000,27100,26750,13137000,26850
2026-02-13,HPG,26900,27150,26800,24069800,26900
2026-02-14,HPG,26900,27150,26800,24069800,26900
2026-02-15,HPG,26900,27150,26800,24069800,26900
2026-02-23,HPG,27100,27500,27100,36086500,26850
2026-02-25,HPG,28400,29700,28400,136409200,28300
2026-02-26,HPG,29500,29550,28800,54496800,29300
2026-02-28,HPG,29350,29400,28800,47306500,29400
2026-03-04,HPG,27600,27850,26800,68275500,27700
2026-03-05,HPG,27950,28150,27100,47998900,27700
2026-03-07,HPG,27000,27600,26850,44351700,27250
2026-03-08,HPG,27000,27600,26850,44351700,27250
2026-03-11,HPG,27150,27650,26950,49913200,27100
2026-03-12,HPG,27000,27150,26650,44045900,27400
2026-03-14,HPG,26700,27200,26500,28666500,26800
2026-03-15,HPG,26700,27200,26500,28666500,26800
2026-03-18,HPG,26900,27150,26650,23058500,26900
2026-03-26,HPG,26300,26350,25900,18424200,26350
2026-03-29,HPG,25950,26700,25850,26863700,25900
2026-04-08,HPG,27500,28050,27400,67646600,26800
