date,symbol,Open,High,Low,Volume,Close
2026-01-31,HSG,16350,16500,16100,1957400,16250
2026-02-01,HSG,16350,16500,16100,1957400,16250
2026-02-02,HSG,16000,16000,15600,4888100,16100
2026-02-04,HSG,15950,16600,15900,4674700,15800
2026-02-04,HSG,15950,16800,15900,8229400,15800
2026-02-05,HSG,16550,16550,16150,1933900,16500
2026-02-08,HSG,16000,16350,15600,4600900,16150
2026-02-09,HSG,15750,15800,15400,3797000,15600
2026-02-12,HSG,15650,15800,15450,2002600,15600
2026-02-13,HSG,15500,15750,15500,2875400,15600
2026-02-14,HSG,15500,15750,15500,2875400,15600
2026-02-15,HSG,15500,15750,15500,2875400,15600
2026-02-23,HSG,15800,16050,15650,2544600,15500
2026-02-25,HSG,16400,16800,16350,6951700,16300
2026-02-26,HSG,16500,16500,16100,2814900,16400
2026-02-28,HSG,16250,16350,16050,3179500,16250
2026-03-04,HSG,15500,15600,14500,7433400,15500
2026-03-05,HSG,15500,15600,15000,3569200,15150
2026-03-07,HSG,15000,15100,14750,4297200,15000
2026-03-08,HSG,15000,15100,14750,4297200,15000
2026-03-11,HSG,14350,14850,14250,4334200,14300
2026-03-12,HSG,14800,14800,14350,3595800,14800
2026-03-14,HSG,14250,14550,14250,2725000,14400
2026-03-15,HSG,14250,14550,14250,2725000,14400
2026-03-18,HSG,14750,14950,14600,3941700,14500
2026-03-26,HSG,14550,14550,14300,2034500,14400
2026-03-29,HSG,14550,14950,14500,3746700,14500
2026-04-08,HSG,15050,15250,14900,4306300,14550
