date,symbol,Open,High,Low,Volume,Close
2026-01-31,HT1,15150,15150,14750,825700,14850
2026-02-01,HT1,15150,15150,14750,825700,14850
2026-02-02,HT1,14900,15000,14450,1781600,14850
2026-02-04,HT1,15100,15850,15100,310900,15100
2026-02-04,HT1,15100,15850,15100,679600,15100
2026-02-05,HT1,15700,15700,15250,592100,15700
2026-02-08,HT1,15400,15400,15000,635000,15550
2026-02-09,HT1,15350,15400,15100,117100,15300
2026-02-12,HT1,15450,15500,15250,86600,15400
2026-02-13,HT1,15450,15500,15250,281000,15300
2026-02-14,HT1,15450,15500,15250,281000,15300
2026-02-15,HT1,15450,15500,15250,281000,15300
2026-02-23,HT1,15550,16150,15500,733500,15400
2026-02-25,HT1,16500,16700,16300,701900,16500
2026-02-26,HT1,16600,16700,16300,787400,16600
2026-02-28,HT1,16700,17050,16300,1716000,16500
2026-03-04,HT1,18000,18100,17000,1648000,17500
2026-03-05,HT1,17500,17650,17200,485100,17500
2026-03-07,HT1,17500,17500,17000,850200,17500
2026-03-08,HT1,17500,17500,17000,850200,17500
2026-03-11,HT1,15850,16650,15800,851600,15600
2026-03-12,HT1,16550,16650,16000,369700,16500
2026-03-14,HT1,16200,17600,15600,943300,16450
2026-03-15,HT1,16200,17600,15600,943300,16450
2026-03-18,HT1,16150,16450,15700,563600,16200
2026-03-26,HT1,15100,15100,14600,306300,14900
2026-03-29,HT1,14650,15100,14650,311600,14700
2026-04-08,HT1,15300,15300,14900,384200,14600
