date,symbol,Open,High,Low,Volume,Close
2026-01-31,IMP,53800,54300,53800,51500,53800
2026-02-01,IMP,53800,54300,53800,51500,53800
2026-02-02,IMP,54100,54200,53400,32300,54200
2026-02-04,IMP,54000,54200,54000,3000,54100
2026-02-04,IMP,54000,54200,54000,28900,54100
2026-02-05,IMP,54100,54300,54100,14600,54100
2026-02-08,IMP,54100,54300,53600,100400,54200
2026-02-09,IMP,53700,54100,53700,11300,54100
2026-02-12,IMP,53900,53900,53500,25800,53900
2026-02-13,IMP,53100,53500,53100,16800,53800
2026-02-14,IMP,53100,53500,53100,16800,53800
2026-02-15,IMP,53100,53500,53100,16800,53800
2026-02-23,IMP,53000,54000,53000,28300,53400
2026-02-25,IMP,53900,54100,53900,19600,53900
2026-02-26,IMP,53800,54200,53800,11300,53900
2026-02-28,IMP,53900,54200,53900,44700,53900
2026-03-04,IMP,54000,54200,53600,179600,54000
2026-03-05,IMP,54300,54300,54100,28000,54200
2026-03-07,IMP,54500,54500,53900,26800,54300
2026-03-08,IMP,54500,54500,53900,26800,54300
2026-03-11,IMP,56900,57000,56400,267600,56400
2026-03-12,IMP,56700,56800,55400,50700,56700
2026-03-14,IMP,55700,56700,55000,77000,56100
2026-03-15,IMP,55700,56700,55000,77000,56100
2026-03-18,IMP,55600,56000,55000,51000,56100
2026-03-26,IMP,55400,55400,54500,25600,55200
2026-03-29,IMP,54400,54800,54400,17600,54500
2026-04-08,IMP,56000,56000,55100,30400,55500
