date,symbol,Open,High,Low,Volume,Close
2026-01-31,KBC,34000,35000,33800,4796300,33600
2026-02-01,KBC,34000,35000,33800,4796300,33600
2026-02-02,KBC,34850,35450,34150,4893900,34900
2026-02-04,KBC,38200,38200,37400,5211800,37900
2026-02-04,KBC,38200,38200,36850,8995900,37900
2026-02-05,KBC,37200,37400,36000,4843700,37150
2026-02-08,KBC,35550,35700,34000,7341600,36000
2026-02-09,KBC,34500,34600,34000,1892400,34200
2026-02-12,KBC,34600,34750,34300,1433200,34200
2026-02-13,KBC,34300,34500,34050,1939700,34400
2026-02-14,KBC,34300,34500,34050,1939700,34400
2026-02-15,KBC,34300,34500,34050,1939700,34400
2026-02-23,KBC,34950,36000,34600,2932700,34150
2026-02-25,KBC,35000,36350,35000,5962600,35000
2026-02-26,KBC,36000,36050,35300,2018400,35900
2026-02-28,KBC,35600,36150,35150,3497400,35550
2026-03-04,KBC,33800,34000,31600,8703500,33950
2026-03-05,KBC,33150,33300,33000,3961800,32800
2026-03-07,KBC,32000,33100,32000,2804100,33100
2026-03-08,KBC,32000,33100,32000,2804100,33100
2026-03-11,KBC,30200,31900,29800,2804500,30100
2026-03-12,KBC,31800,32250,31400,2318000,31800
2026-03-14,KBC,31500,32400,31400,2303700,32000
2026-03-15,KBC,31500,32400,31400,2303700,32000
2026-03-18,KBC,31250,31450,30200,3310900,31150
2026-03-26,KBC,29150,29150,28250,1780000,28900
2026-03-29,KBC,28500,30700,28350,6091600,28700
2026-04-08,KBC,32950,33450,32050,4279600,31750
