date,symbol,Open,High,Low,Volume,Close
2026-01-31,KDC,49950,50000,49650,188600,50000
2026-02-01,KDC,49950,50000,49650,188600,50000
2026-02-02,KDC,49900,52000,49900,296000,50000
2026-02-04,KDC,52800,53200,52300,154200,52800
2026-02-04,KDC,52800,53200,52200,316300,52800
2026-02-05,KDC,52300,52600,52000,327700,52700
2026-02-08,KDC,52500,52800,51600,256700,52500
2026-02-09,KDC,52000,52100,51500,290500,52100
2026-02-12,KDC,51900,52000,51400,313400,51900
2026-02-13,KDC,51600,52200,51600,350300,52000
2026-02-14,KDC,51600,52200,51600,350300,52000
2026-02-15,KDC,51600,52200,51600,350300,52000
2026-02-23,KDC,52000,52200,51700,320000,52100
2026-02-25,KDC,52100,52200,51700,314700,52200
2026-02-26,KDC,52200,52200,51600,279800,52200
2026-02-28,KDC,52000,52000,51300,367500,52000
2026-03-04,KDC,50300,50600,49700,314200,50500
2026-03-05,KDC,50800,50800,50000,262400,50600
2026-03-07,KDC,49950,50800,49950,224500,50400
2026-03-08,KDC,49950,50800,49950,224500,50400
2026-03-11,KDC,50000,51400,50000,197200,50800
2026-03-12,KDC,51300,51300,50300,177500,51300
2026-03-14,KDC,51100,51200,50500,156400,51300
2026-03-15,KDC,51100,51200,50500,156400,51300
2026-03-18,KDC,50600,50600,50100,228100,50600
2026-03-26,KDC,49900,49900,49000,87900,49600
2026-03-29,KDC,49400,49400,48900,130600,49400
2026-04-08,KDC,48900,48900,47800,336200,47800
