date,symbol,Open,High,Low,Volume,Close
2026-01-31,KDH,27100,28000,26850,11299600,26900
2026-02-01,KDH,27100,28000,26850,11299600,26900
2026-02-02,KDH,27600,27600,26500,5167100,27500
2026-02-04,KDH,26900,27000,26450,2860500,26850
2026-02-04,KDH,26900,27100,26450,5915200,26850
2026-02-05,KDH,27100,27200,26600,3311800,26850
2026-02-08,KDH,26400,26400,25400,7494700,26600
2026-02-09,KDH,25900,26950,25750,6905800,25400
2026-02-12,KDH,28450,28700,27950,3821800,28550
2026-02-13,KDH,28100,28400,28000,3358900,28500
2026-02-14,KDH,28100,28400,28000,3358900,28500
2026-02-15,KDH,28100,28400,28000,3358900,28500
2026-02-23,KDH,28300,28300,27450,3189000,28300
2026-02-25,KDH,28350,28350,27600,4614100,28250
2026-02-26,KDH,28000,28150,27800,2916900,27950
2026-02-28,KDH,28100,28250,27200,4380200,28000
2026-03-04,KDH,27100,27200,25500,6483800,27300
2026-03-05,KDH,26700,27450,26500,9013400,26250
2026-03-07,KDH,26800,27000,25650,4142300,26750
2026-03-08,KDH,26800,27000,25650,4142300,26750
2026-03-11,KDH,25100,26500,24900,6061900,25050
2026-03-12,KDH,25700,25800,25050,2316000,25750
2026-03-14,KDH,25300,26700,25150,5708700,25600
2026-03-15,KDH,25300,26700,25150,5708700,25600
2026-03-18,KDH,26200,26250,25800,2166500,26200
2026-03-26,KDH,26050,26100,25350,2692100,25850
2026-03-29,KDH,25450,26500,25300,4704200,25450
2026-04-08,KDH,25850,26400,25500,4399100,25000
