date,symbol,Open,High,Low,Volume,Close
2026-01-31,KOS,39200,39200,39000,361400,39150
2026-02-01,KOS,39200,39200,39000,361400,39150
2026-02-02,KOS,39150,39150,39000,336800,39150
2026-02-04,KOS,38100,38100,36000,137700,38200
2026-02-04,KOS,38100,38200,35950,338800,38200
2026-02-05,KOS,38200,38200,37750,377000,38200
2026-02-08,KOS,38200,38350,37750,401000,38200
2026-02-09,KOS,38200,38200,37750,472700,38200
2026-02-12,KOS,38100,38150,38000,372200,38100
2026-02-13,KOS,38150,38450,38000,309000,38150
2026-02-14,KOS,38150,38450,38000,309000,38150
2026-02-15,KOS,38150,38450,38000,309000,38150
2026-02-23,KOS,38150,38350,38150,363300,38150
2026-02-25,KOS,38300,38350,38300,386900,38300
2026-02-26,KOS,38350,38700,38350,326400,38350
2026-02-28,KOS,38300,38300,36300,420300,38400
2026-03-04,KOS,36350,36350,36050,392700,36350
2026-03-05,KOS,36350,36400,36350,308500,36350
2026-03-07,KOS,36400,36400,36200,322600,36400
2026-03-08,KOS,36400,36400,36200,322600,36400
2026-03-11,KOS,36200,36400,36000,325300,36200
2026-03-12,KOS,36400,36700,36400,369300,36400
2026-03-14,KOS,36700,37000,36700,326400,36700
2026-03-15,KOS,36700,37000,36700,326400,36700
2026-03-18,KOS,38350,38500,38250,353400,38250
2026-03-26,KOS,38950,39200,38850,439100,38950
2026-03-29,KOS,39000,39050,39000,322500,39000
2026-04-08,KOS,38700,38900,38650,363800,38650
