date,symbol,Open,High,Low,Volume,Close
2026-01-31,LPB,41900,42600,41500,1478700,41700
2026-02-01,LPB,41900,42600,41500,1478700,41700
2026-02-02,LPB,41500,42200,40750,1414600,41650
2026-02-04,LPB,41700,42100,41700,673800,41550
2026-02-04,LPB,41700,42200,41700,1567200,41550
2026-02-05,LPB,42800,42800,41000,1331700,42200
2026-02-08,LPB,41100,41900,40400,1869700,41000
2026-02-09,LPB,42050,42300,41700,817400,41900
2026-02-12,LPB,42200,42200,41650,458300,42050
2026-02-13,LPB,41950,42700,41050,2457800,41850
2026-02-14,LPB,41950,42700,41050,2457800,41850
2026-02-15,LPB,41950,42700,41050,2457800,41850
2026-02-23,LPB,42850,42850,42350,722700,42050
2026-02-25,LPB,42650,42850,42050,1826400,42600
2026-02-26,LPB,42550,43750,42200,3105500,42300
2026-02-28,LPB,43500,44300,42750,1473700,43150
2026-03-04,LPB,42400,43100,41500,2091600,42400
2026-03-05,LPB,43500,43500,42000,1933300,43100
2026-03-07,LPB,42900,42900,41850,1469300,42850
2026-03-08,LPB,42900,42900,41850,1469300,42850
2026-03-11,LPB,40550,41800,39800,2275300,40600
2026-03-12,LPB,41500,41600,40600,2167300,41700
2026-03-14,LPB,41100,41800,40900,1678600,41100
2026-03-15,LPB,41100,41800,40900,1678600,41100
2026-03-18,LPB,43750,44500,43300,2196800,43350
2026-03-26,LPB,41900,42000,41450,636800,41800
2026-03-29,LPB,41800,42200,41700,1152800,41800
2026-04-08,LPB,49000,50000,47450,1739200,48000
