date,symbol,Open,High,Low,Volume,Close
2026-01-31,MBB,26750,27200,26600,28064600,26700
2026-02-01,MBB,26750,27200,26600,28064600,26700
2026-02-02,MBB,27200,27600,26950,25977600,27200
2026-02-04,MBB,27850,27900,27550,9182500,27700
2026-02-04,MBB,27850,28100,27550,25733700,27700
2026-02-05,MBB,27850,27900,27050,25285900,27800
2026-02-08,MBB,27000,28100,26450,49957800,27050
2026-02-09,MBB,27800,28100,27400,25413800,27350
2026-02-12,MBB,29300,29300,28300,27983900,29000
2026-02-13,MBB,28600,28600,28300,21371900,28350
2026-02-14,MBB,28600,28600,28300,21371900,28350
2026-02-15,MBB,28600,28600,28300,21371900,28350
2026-02-23,MBB,28800,28850,28300,19036000,28300
2026-02-25,MBB,28500,29300,28300,28088400,28250
2026-02-26,MBB,28900,29100,28450,16056700,28750
2026-02-28,MBB,28750,28850,28500,14848500,28800
2026-03-04,MBB,27100,27400,26350,42105200,27050
2026-03-05,MBB,27450,27550,27000,17308700,26950
2026-03-07,MBB,27100,27150,26650,22166600,27050
2026-03-08,MBB,27100,27150,26650,22166600,27050
2026-03-11,MBB,26550,27000,26450,22212600,26550
2026-03-12,MBB,26500,26800,26000,19075600,26800
2026-03-14,MBB,26200,26500,25800,17314700,26250
2026-03-15,MBB,26200,26500,25800,17314700,26250
2026-03-18,MBB,26700,26900,25750,14929500,26350
2026-03-26,MBB,26350,26350,25700,13683600,26000
2026-03-29,MBB,25750,26200,25600,12866700,25800
2026-04-08,MBB,26450,26650,26100,33405300,25600
