date,symbol,Open,High,Low,Volume,Close
2026-01-31,MSB,12200,12400,12200,5283700,12150
2026-02-01,MSB,12200,12400,12200,5283700,12150
2026-02-02,MSB,12350,12350,12150,4904400,12400
2026-02-04,MSB,12200,12250,12150,4100300,12200
2026-02-04,MSB,12200,12250,12100,7026500,12200
2026-02-05,MSB,12200,12250,12100,2506600,12200
2026-02-08,MSB,12100,12100,11900,7040300,12100
2026-02-09,MSB,12000,12050,11850,2634300,12000
2026-02-12,MSB,12050,12100,11950,1993200,12000
2026-02-13,MSB,12050,12100,12000,2101700,12100
2026-02-14,MSB,12050,12100,12000,2101700,12100
2026-02-15,MSB,12050,12100,12000,2101700,12100
2026-02-23,MSB,12100,12200,12050,3269700,12050
2026-02-25,MSB,12150,12300,12150,5532800,12150
2026-02-26,MSB,12250,12350,12150,4738200,12200
2026-02-28,MSB,12200,12250,12050,6703300,12200
2026-03-04,MSB,11650,11700,11350,12381700,11650
2026-03-05,MSB,11700,11750,11600,3865000,11650
2026-03-07,MSB,11550,11650,11450,3705300,11600
2026-03-08,MSB,11550,11650,11450,3705300,11600
2026-03-11,MSB,11100,11450,11000,5658100,11000
2026-03-12,MSB,11150,11400,11150,3337600,11450
2026-03-14,MSB,11200,11300,11100,4299600,11250
2026-03-15,MSB,11200,11300,11100,4299600,11250
2026-03-18,MSB,11400,11500,11300,3005500,11350
2026-03-26,MSB,11300,11350,11250,3768800,11300
2026-03-29,MSB,11300,11400,11250,6612900,11300
2026-04-08,MSB,11800,12250,11650,19869900,11550
