date,symbol,Open,High,Low,Volume,Close
2026-01-31,MSN,84600,85000,83300,10777800,84100
2026-02-01,MSN,84600,85000,83300,10777800,84100
2026-02-02,MSN,83900,85500,82200,11833900,84000
2026-02-04,MSN,84100,84900,82900,5032200,83800
2026-02-04,MSN,84100,84900,82500,8323300,83800
2026-02-05,MSN,82800,82900,79400,10434400,82700
2026-02-08,MSN,78400,79500,77700,9419400,79400
2026-02-09,MSN,79000,79200,78000,3681100,78200
2026-02-12,MSN,78400,78400,78000,2759900,78000
2026-02-13,MSN,78000,78300,77700,3963900,78000
2026-02-14,MSN,78000,78300,77700,3963900,78000
2026-02-15,MSN,78000,78300,77700,3963900,78000
2026-02-23,MSN,78800,79200,78300,3791500,78000
2026-02-25,MSN,81300,81600,80300,5852200,80900
2026-02-26,MSN,80700,81200,79900,4991400,80300
2026-02-28,MSN,80500,80600,79000,5053900,80400
2026-03-04,MSN,77100,77600,74000,11189700,77000
2026-03-05,MSN,76800,77500,75300,6074200,76000
2026-03-07,MSN,74900,75000,73200,7955900,75300
2026-03-08,MSN,74900,75000,73200,7955900,75300
2026-03-11,MSN,69300,73000,69100,10575800,68300
2026-03-12,MSN,73200,74500,71800,8489100,73000
2026-03-14,MSN,73400,74700,72700,8344100,73100
2026-03-15,MSN,73400,74700,72700,8344100,73100
2026-03-18,MSN,75800,75800,74000,5029900,75400
2026-03-26,MSN,73000,73200,71800,4014500,73200
2026-03-29,MSN,72200,73400,72200,4263900,72100
2026-04-08,MSN,77200,77800,76300,10008300,75100
