date,symbol,Open,High,Low,Volume,Close
2026-01-31,MWG,90000,93400,89800,20845900,89500
2026-02-01,MWG,90000,93400,89800,20845900,89500
2026-02-02,MWG,93100,93900,90500,13866200,92900
2026-02-04,MWG,91500,91900,90600,4557700,91500
2026-02-04,MWG,91500,91900,90600,7656400,91500
2026-02-05,MWG,91700,91800,90200,5643400,91800
2026-02-08,MWG,89700,89900,86000,13814700,90200
2026-02-09,MWG,89000,90000,88500,5452400,88400
2026-02-12,MWG,92500,93900,91100,7890300,91900
2026-02-13,MWG,91900,93200,91500,5511500,92900
2026-02-14,MWG,91900,93200,91500,5511500,92900
2026-02-15,MWG,91900,93200,91500,5511500,92900
2026-02-23,MWG,92900,93100,91100,5003100,92800
2026-02-25,MWG,92200,94100,92000,8132700,92200
2026-02-26,MWG,93000,94300,92500,5011100,93000
2026-02-28,MWG,93700,93900,92600,5224300,93600
2026-03-04,MWG,87100,88800,83800,13414100,88200
2026-03-05,MWG,88900,89000,85200,11270500,88800
2026-03-07,MWG,84800,84800,81700,13359400,85200
2026-03-08,MWG,84800,84800,81700,13359400,85200
2026-03-11,MWG,81000,86600,80500,17339300,81000
2026-03-12,MWG,84000,86500,83100,10104500,86500
2026-03-14,MWG,84500,84500,82000,6260000,84600
2026-03-15,MWG,84500,84500,82000,6260000,84600
2026-03-18,MWG,82800,84300,82400,4304400,82700
2026-03-26,MWG,78000,78900,77400,7066800,79200
2026-03-29,MWG,78600,81800,78200,7595000,78500
2026-04-08,MWG,80600,82000,79900,10192500,78000
