date,symbol,Open,High,Low,Volume,Close
2026-01-31,NAB,14150,14250,14100,1230700,14100
2026-02-01,NAB,14150,14250,14100,1230700,14100
2026-02-02,NAB,14200,14300,14050,1367600,14150
2026-02-04,NAB,14100,14200,14050,731500,14150
2026-02-04,NAB,14100,14200,14050,1198900,14150
2026-02-05,NAB,14100,14150,13950,1489800,14100
2026-02-08,NAB,14000,14050,13950,1248900,14100
2026-02-09,NAB,13900,14050,13850,1451800,14000
2026-02-12,NAB,14150,14200,14050,968500,14150
2026-02-13,NAB,14100,14100,13850,1471200,14050
2026-02-14,NAB,14100,14100,13850,1471200,14050
2026-02-15,NAB,14100,14100,13850,1471200,14050
2026-02-23,NAB,14000,14150,13900,1956000,14050
2026-02-25,NAB,14150,14200,14050,1511100,14100
2026-02-26,NAB,14150,14200,14100,1114200,14150
2026-02-28,NAB,14150,14200,14000,1419600,14150
2026-03-04,NAB,13850,13900,13450,1524800,13850
2026-03-05,NAB,13850,13900,13650,1296900,13650
2026-03-07,NAB,13700,13750,13650,1362900,13650
2026-03-08,NAB,13700,13750,13650,1362900,13650
2026-03-11,NAB,12500,13400,12500,1152400,12900
2026-03-12,NAB,13100,13250,12900,1336800,13150
2026-03-14,NAB,12700,13000,12700,1275000,13050
2026-03-15,NAB,12700,13000,12700,1275000,13050
2026-03-18,NAB,13050,13200,12750,2141500,13050
2026-03-26,NAB,12700,12950,12700,1056200,12700
2026-03-29,NAB,12850,13200,12750,1659900,12850
2026-04-08,NAB,13200,13600,13200,2134400,13050
