date,symbol,Open,High,Low,Volume,Close
2026-01-31,NKG,15450,15700,15200,3550700,15300
2026-02-01,NKG,15450,15700,15200,3550700,15300
2026-02-02,NKG,15100,15100,14650,5540400,15200
2026-02-04,NKG,14950,15900,14950,7089700,14950
2026-02-04,NKG,14950,15950,14950,11676300,14950
2026-02-05,NKG,15650,15700,15300,3230900,15550
2026-02-08,NKG,15100,15650,14650,7141200,15300
2026-02-09,NKG,14800,14900,14700,3286300,14650
2026-02-12,NKG,15150,15150,14950,1832500,14950
2026-02-13,NKG,15000,15100,14900,1834700,14950
2026-02-14,NKG,15000,15100,14900,1834700,14950
2026-02-15,NKG,15000,15100,14900,1834700,14950
2026-02-23,NKG,15000,15450,15000,4010100,14950
2026-02-25,NKG,15950,16500,15900,11711200,15900
2026-02-26,NKG,16250,16250,15750,6166700,16150
2026-02-28,NKG,16200,16250,15750,6867100,16150
2026-03-04,NKG,15250,15500,14400,12060100,15400
2026-03-05,NKG,15100,15300,14700,6088900,15000
2026-03-07,NKG,14700,14950,14350,6683900,14700
2026-03-08,NKG,14700,14950,14350,6683900,14700
2026-03-11,NKG,14150,14400,13900,4724400,14000
2026-03-12,NKG,14200,14500,13900,6087800,14300
2026-03-14,NKG,13800,14250,13600,4304500,13900
2026-03-15,NKG,13800,14250,13600,4304500,13900
2026-03-18,NKG,14000,14300,13800,3811100,14050
2026-03-26,NKG,13500,13700,13350,3367400,13400
2026-03-29,NKG,13450,13800,13300,3679600,13350
2026-04-08,NKG,14050,14150,13800,5511300,13550
